순위,종목코드,종목명,현재가,전일대비,,등락률,거래량,거래비중,시가총액,시가총액비,체결강도
137,'310210,보로노이,"161,900",▲,"5,400","+3.45%","146,003","0.09","2,977,571","0.09%",128.77
138,'041510,에스엠,"129,900",▼,"-2,400","-1.81%","162,904","0.08","2,974,020","0.09%",68.84
139,'011170,롯데케미칼,"68,000",▼,"-1,100","-1.59%","134,514","0.03","2,908,728","0.08%",74.46
140,'001440,대한전선,"15,580",▲,"500","+3.32%","1,370,912","0.08","2,904,849","0.08%",146.83
141,'111770,영원무역,"65,400",▲,"200","+0.31%","25,656","","2,897,970","0.08%",145.77
142,'039030,이오테크닉스,"232,000",▼,"-4,000","-1.69%","82,580","0.08","2,858,136","0.08%",69.37
143,'042670,HD현대인프라코어,"15,060",▼,"-10","-0.07%","1,448,425","0.09","2,844,100","0.08%",95.12
144,'071970,HD현대마린엔진,"83,700",▲,"4,800","+6.08%","568,450","0.19","2,839,229","0.08%",126.75
145,'403870,HPSP,"33,750",▼,"-350","-1.03%","928,576","0.13","2,818,077","0.08%",65.76
146,'257720,실리콘투,"46,000",▼,"-200","-0.43%","766,083","0.14","2,813,908","0.08%",89.37
147,'011780,금호석유화학,"105,000",▲,"1,400","+1.35%","103,026","0.04","2,778,257","0.08%",74.81
148,'088350,한화생명,"3,135",▼,"-10","-0.32%","627,689","","2,722,842","0.08%",78.67
149,'026960,동서,"26,950",▼,"-50","-0.19%","59,226","","2,686,915","0.08%",67.79
150,'066970,엘앤에프,"73,700",▲,"800","+1.10%","429,496","0.13","2,676,502","0.08%",68.79
151,'489790,한화비전,"53,000",▼,"-300","-0.56%","589,475","0.13","2,675,885","0.08%",92.83
152,'012510,더존비즈온,"87,800",▼,"-2,100","-2.34%","548,672","0.20","2,667,608","0.08%",89.44
153,'035900,JYP Ent.,"74,600",▼,"-1,700","-2.23%","445,044","0.13","2,650,724","0.08%",49.24
154,'008930,한미사이언스,"38,750", ,"0","0%","212,285","0.03","2,650,173","0.08%",68.02
155,'004370,농심,"431,000",▼,"-7,500","-1.71%","56,429","0.10","2,621,619","0.08%",60.79
156,'001450,현대해상,"28,400",▼,"-800","-2.74%","558,177","0.06","2,538,960","0.07%",74.11
157,'000990,DB하이텍,"56,800",▼,"-200","-0.35%","277,710","0.06","2,521,840","0.07%",115.49
158,'192820,코스맥스,"214,000",▼,"-14,000","-6.14%","282,326","0.25","2,428,795","0.07%",36.30
159,'462870,시프트업,"40,950",▲,"850","+2.12%","146,856","0.02","2,407,111","0.07%",123.90
160,'383220,F&F,"62,700",▼,"-900","-1.42%","59,332","0.01","2,401,854","0.07%",67.14
161,'003570,SNT다이내믹스,"72,200",▼,"-800","-1.10%","129,604","0.04","2,400,845","0.07%",76.53
162,'014680,한솔케미칼,"207,500",▲,"500","+0.24%","50,443","0.04","2,352,053","0.07%",90.38
163,'030000,제일기획,"20,400",▼,"-300","-1.45%","288,103","0.02","2,346,841","0.07%",49.61
164,'068760,셀트리온제약,"53,400",▼,"-1,300","-2.38%","180,445","0.04","2,332,469","0.07%",47.76
165,'097230,HJ중공업,"28,000",▲,"2,100","+8.11%","10,221,654","1.19","2,331,680","0.07%",116.11
166,'081660,미스토홀딩스,"38,500",▼,"-450","-1.16%","75,725","0.01","2,313,690","0.07%",76.54
167,'240810,원익IPS,"46,950",▲,"1,300","+2.85%","906,951","0.18","2,304,489","0.07%",141.16
168,'263750,펄어비스,"35,600",▼,"-850","-2.33%","320,786","0.04","2,287,224","0.07%",55.73
169,'357780,솔브레인,"287,000",▼,"-1,000","-0.35%","27,825","0.03","2,232,448","0.06%",111.84
170,'139130,iM금융지주,"13,720",▲,"10","+0.07%","465,168","0.02","2,223,390","0.06%",138.60
171,'000240,한국앤컴퍼니,"23,150",▲,"50","+0.22%","71,779","","2,197,751","0.06%",113.07
172,'089030,테크윙,"58,500",▼,"-400","-0.68%","979,607","0.24","2,185,188","0.06%",85.46
173,'082270,젬백스,"51,500",▼,"-5,400","-9.49%","702,243","0.15","2,183,105","0.06%",48.81
174,'347850,디앤디파마텍,"201,000",▼,"-4,000","-1.95%","441,209","0.38","2,182,120","0.06%",81.10
175,'361610,SK아이이테크놀로지,"26,600",▼,"-450","-1.66%","106,509","0.01","2,175,537","0.06%",39.30
176,'001720,신영증권,"131,400",▼,"-1,400","-1.05%","15,871","","2,160,216","0.06%",56.77
177,'018670,SK가스,"232,500",▲,"1,000","+0.43%","6,821","","2,149,519","0.06%",70.83
178,'051600,한전KPS,"47,500",▼,"-150","-0.31%","108,554","0.02","2,137,500","0.06%",95.24
179,'003690,코리안리,"10,960",▼,"-130","-1.17%","167,897","","2,135,238","0.06%",63.87
180,'108490,로보티즈,"160,700",▲,"4,600","+2.95%","2,656,844","1.76","2,124,544","0.06%",100.98
181,'002790,아모레퍼시픽홀딩스,"26,700",▲,"100","+0.38%","129,528","0.01","2,121,533","0.06%",83.82
182,'005290,동진쎄미켐,"41,000",▲,"100","+0.24%","634,558","0.11","2,107,994","0.06%",108.25
183,'139480,이마트,"75,400",▲,"300","+0.40%","129,491","0.04","2,080,725","0.06%",72.39
184,'018880,한온시스템,"3,055",▼,"-20","-0.65%","479,615","","2,073,620","0.06%",61.04
185,'028670,팬오션,"3,860",▼,"-55","-1.40%","1,126,638","0.01","2,063,438","0.06%",55.91
186,'064760,티씨케이,"175,000",▲,"8,600","+5.17%","123,568","0.09","2,043,125","0.06%",118.18
187,'484870,엠앤씨솔루션,"223,000",▲,"4,000","+1.83%","21,881","0.02","2,041,320","0.06%",102.80
188,'008770,호텔신라,"51,500",▼,"-2,300","-4.28%","552,417","0.12","2,021,278","0.06%",49.86
189,'483650,달바글로벌,"163,200",▼,"-800","-0.49%","114,875","0.07","2,009,631","0.06%",56.39
190,'023530,롯데쇼핑,"71,000",▲,"400","+0.57%","34,410","0.01","2,008,502","0.06%",145.78
191,'069960,현대백화점,"88,100",▼,"-1,100","-1.23%","101,144","0.03","1,993,598","0.06%",65.32
192,'006040,동원산업,"45,150",▲,"300","+0.67%","44,918","","1,993,282","0.06%",68.26
193,'140410,메지온,"64,900",▼,"-1,100","-1.67%","142,826","0.03","1,954,453","0.05%",58.66
194,'034230,파라다이스,"21,100",▲,"200","+0.96%","819,066","0.07","1,947,347","0.05%",107.64
195,'000120,CJ대한통운,"84,500",▼,"-700","-0.82%","36,025","0.01","1,927,643","0.05%",102.20
196,'020560,아시아나항공,"9,290",▼,"-30","-0.32%","88,495","","1,913,654","0.05%",57.12
197,'226950,올릭스,"95,000",▲,"200","+0.21%","624,633","0.25","1,910,904","0.05%",83.60
198,'009970,영원무역홀딩스,"138,700",▲,"200","+0.14%","7,067","","1,872,344","0.05%",116.23
199,'282330,BGF리테일,"108,100",▲,"200","+0.19%","23,628","0.01","1,868,390","0.05%",96.85
