순위,종목코드,종목명,현재가,전일대비,,등락률,거래량,거래비중,시가총액,시가총액비,체결강도
330,'086900,메디톡스,"119,900",▼,"-1,800","-1.48%","47,497","0.02","875,090","0.02%",43.84
331,'161580,필옵틱스,"37,300",▼,"-250","-0.67%","1,264,447","0.20","872,773","0.02%",79.01
332,'014620,성광벤드,"32,800",▼,"-400","-1.20%","348,675","0.04","871,082","0.02%",60.23
333,'067160,SOOP,"74,700",▼,"-400","-0.53%","26,015","","858,659","0.02%",61.25
334,'056190,에스에프에이,"23,850",▼,"-350","-1.45%","69,849","","856,424","0.02%",53.22
335,'336570,원텍,"9,470",▼,"-100","-1.04%","443,965","0.01","852,005","0.02%",40.61
336,'086450,동국제약,"18,930",▲,"270","+1.45%","236,560","0.01","849,649","0.02%",80.70
337,'095610,테스,"42,950",▼,"-500","-1.15%","298,393","0.05","849,045","0.02%",99.04
338,'025980,아난티,"9,030",▼,"-270","-2.90%","1,496,182","0.05","848,559","0.02%",56.29
339,'085660,차바이오텍,"11,080", ,"0","0%","203,531","","846,802","0.02%",69.05
340,'248070,솔루엠,"17,440",▲,"50","+0.29%","118,229","","833,915","0.02%",90.36
341,'030190,NICE평가정보,"13,920",▲,"160","+1.16%","78,899","","828,332","0.02%",61.29
342,'003380,하림지주,"7,370",▼,"-120","-1.60%","352,890","0.01","825,481","0.02%",46.59
343,'003850,보령,"9,580",▲,"840","+9.61%","5,248,932","0.21","821,841","0.02%",102.19
344,'335890,비올,"13,950",▼,"-3,000","-17.70%","489,180","0.03","814,947","0.02%",50.78
345,'079160,CJ CGV,"4,900",▼,"-10","-0.20%","270,826","","811,348","0.02%",69.21
346,'137400,피엔티,"34,100",▼,"-750","-2.15%","177,761","0.02","809,639","0.02%",69.07
347,'298050,HS효성첨단소재,"180,400",▼,"-1,100","-0.61%","10,057","","808,183","0.02%",52.27
348,'281740,레이크머티리얼즈,"12,230",▼,"-180","-1.45%","241,216","0.01","803,885","0.02%",48.80
349,'323280,태성,"26,200",▼,"-450","-1.69%","276,342","0.03","799,119","0.02%",59.07
350,'000070,삼양홀딩스,"92,900",▲,"1,700","+1.86%","13,687","","797,856","0.02%",218.29
351,'281820,케이씨텍,"38,400",▼,"-250","-0.65%","260,581","0.04","794,508","0.02%",75.60
352,'458870,씨어스테크놀로지,"62,600",▼,"-2,800","-4.28%","92,343","0.02","792,884","0.02%",70.57
353,'950210,프레스티지바이오파마,"13,170",▼,"-100","-0.75%","69,014","","791,466","0.02%",57.49
354,'102710,이엔에프테크놀로지,"55,000",▼,"-700","-1.26%","199,058","0.04","785,831","0.02%",73.43
355,'388720,유일로보틱스,"68,400",▼,"-2,000","-2.84%","262,484","0.07","785,439","0.02%",78.84
356,'166090,하나머티리얼즈,"39,700",▼,"-200","-0.50%","279,114","0.04","785,174","0.02%",72.28
357,'218410,RFHIC,"29,600",▲,"350","+1.20%","136,749","0.01","784,502","0.02%",93.84
358,'014820,동원시스템즈,"26,950",▼,"-300","-1.10%","26,892","","781,315","0.02%",66.40
359,'241710,코스메카코리아,"72,900",▼,"-1,500","-2.02%","143,319","0.04","778,572","0.02%",71.61
360,'039130,하나투어,"50,100",▼,"-200","-0.40%","50,810","0.01","776,046","0.02%",39.11
361,'131970,두산테스나,"39,650",▼,"-300","-0.75%","239,473","0.04","766,325","0.02%",50.83
362,'381970,케이카,"15,630",▼,"-20","-0.13%","98,051","","763,070","0.02%",120.20
363,'437730,삼현,"23,950",▲,"1,050","+4.59%","6,950,004","0.70","759,396","0.02%",96.61
364,'001680,대상,"21,900",▼,"-150","-0.68%","52,719","","758,792","0.02%",47.83
365,'099320,쎄트렉아이,"69,000",▲,"600","+0.88%","117,776","0.03","755,638","0.02%",80.16
366,'000640,동아쏘시오홀딩스,"115,500", ,"0","0%","6,139","","754,958","0.02%",104.50
367,'251970,펌텍코리아,"59,900",▼,"-1,100","-1.80%","62,017","0.01","742,760","0.02%",92.18
368,'007700,F&F홀딩스,"18,980",▼,"-190","-0.99%","19,771","","742,391","0.02%",94.98
369,'060250,NHN KCP,"18,460",▼,"-1,470","-7.38%","9,164,915","0.73","741,365","0.02%",59.02
370,'000210,DL,"35,350",▼,"-300","-0.84%","43,743","","740,790","0.02%",72.11
371,'006650,대한유화,"113,900",▼,"-1,100","-0.96%","24,332","0.01","740,350","0.02%",80.11
372,'005250,녹십자홀딩스,"15,680",▼,"-20","-0.13%","60,765","","737,402","0.02%",116.17
373,'003470,유안타증권,"3,680",▲,"10","+0.27%","241,314","","734,515","0.02%",73.98
374,'475150,SK이터닉스,"21,650",▼,"-450","-2.04%","278,930","0.02","730,775","0.02%",57.53
375,'002030,아세아,"350,500",▼,"-500","-0.14%","1,003","","730,491","0.02%",221.61
376,'214320,이노션,"18,210",▲,"30","+0.17%","100,166","","728,400","0.02%",55.89
377,'008730,율촌화학,"29,350",▼,"-350","-1.18%","71,932","","727,880","0.02%",47.66
378,'484590,삼양컴텍,"17,570",▲,"230","+1.33%","4,582,937","0.35","724,068","0.02%",76.88
379,'069260,TKG휴켐스,"17,600",▲,"100","+0.57%","41,184","","719,463","0.02%",107.78
380,'451800,한화리츠,"3,985",▼,"-30","-0.75%","355,578","","715,706","0.02%",74.19
381,'005180,빙그레,"74,800",▼,"-800","-1.06%","30,317","","714,767","0.02%",56.50
382,'00088K,한화3우B,"36,800",▲,"250","+0.68%","20,161","","714,083","0.02%",132.92
383,'005690,파미셀,"11,880",▼,"-80","-0.67%","816,702","0.04","713,002","0.02%",57.13
384,'002840,미원상사,"150,000",▼,"-2,500","-1.64%","1,701","","712,500","0.02%",189.35
385,'466100,클로봇,"28,700",▼,"-350","-1.20%","2,629,033","0.31","710,745","0.02%",80.11
386,'019170,신풍제약,"13,340",▲,"290","+2.22%","467,322","0.02","706,820","0.02%",116.70
387,'475830,오름테라퓨틱,"33,250",▲,"700","+2.15%","306,347","0.04","703,521","0.02%",115.35
388,'397030,에이프릴바이오,"30,900",▲,"1,650","+5.64%","1,872,353","0.24","697,303","0.02%",124.12
389,'052400,코나아이,"47,850",▼,"-500","-1.03%","90,212","0.01","696,853","0.02%",63.00
390,'023160,태광,"25,800", ,"0","0%","191,063","0.02","683,700","0.02%",106.61
391,'268280,미원에스씨,"136,600",▼,"-1,800","-1.30%","1,306","","683,000","0.02%",51.15
392,'064260,다날,"9,900",▼,"-250","-2.46%","8,213,386","0.35","682,595","0.02%",58.60
393,'036540,SFA반도체,"4,120",▲,"160","+4.04%","2,661,626","0.04","677,576","0.02%",103.93
394,'293940,신한알파리츠,"5,580",▲,"20","+0.36%","175,876","","674,846","0.02%",55.27
395,'032820,우리기술,"4,050",▼,"-85","-2.06%","4,426,435","0.07","673,401","0.02%",64.37
396,'001270,부국증권,"64,900",▼,"-1,600","-2.41%","22,324","","673,006","0.02%",34.61
397,'032190,다우데이타,"17,500",▼,"-360","-2.02%","94,284","","670,250","0.02%",39.25
398,'053800,안랩,"60,200",▼,"-700","-1.15%","26,865","","669,816","0.02%",39.55
399,'082920,비츠로셀,"29,100",▼,"-400","-1.36%","87,787","0.01","665,581","0.02%",50.24
400,'003620,KG모빌리티,"3,280",▼,"-15","-0.46%","186,414","","663,790","0.02%",102.58
401,'079900,전진건설로봇,"45,350",▲,"250","+0.55%","44,343","","661,772","0.02%",103.16
402,'057050,현대홈쇼핑,"54,700",▼,"-900","-1.62%","11,495","","656,400","0.02%",55.43
403,'003030,세아제강지주,"158,400",▼,"-2,400","-1.49%","8,888","","656,038","0.02%",95.20
404,'000370,한화손해보험,"5,610",▼,"-90","-1.58%","233,337","","654,905","0.02%",62.97
405,'036810,에프에스티,"29,650",▲,"750","+2.60%","443,408","0.05","651,006","0.01%",79.47
406,'417200,LS머트리얼즈,"9,600",▼,"-20","-0.21%","191,683","","649,466","0.01%",46.14
407,'00104K,CJ4우(전환),"153,400",▲,"1,100","+0.72%","8,627","","648,347","0.01%",68.07
408,'475960,토모큐브,"48,600",▼,"-100","-0.21%","265,251","0.05","644,158","0.01%",78.13
409,'006730,서부T&D,"9,810",▼,"-160","-1.60%","518,967","0.02","641,838","0.01%",77.45
410,'127120,제이에스링크,"21,450",▼,"-2,050","-8.72%","948,431","0.08","636,505","0.01%",56.15
411,'001570,금양,"9,900", ,"0","0%","0","","633,275","0.01%",0.00
412,'211050,인카금융서비스,"12,290",▼,"-500","-3.91%","179,057","","631,458","0.01%",60.75
413,'066575,LG전자우,"36,600",▼,"-350","-0.95%","44,286","","629,007","0.01%",29.40
414,'093370,후성,"5,840",▼,"-30","-0.51%","449,368","0.01","626,371","0.01%",55.90
415,'074600,원익QnC,"23,700",▼,"-50","-0.21%","446,281","0.04","623,026","0.01%",98.66
416,'044490,태웅,"31,100",▼,"-100","-0.32%","125,922","0.01","622,230","0.01%",106.21
417,'025540,한국단자,"61,400",▲,"100","+0.16%","11,851","","621,061","0.01%",116.44
418,'080220,제주반도체,"17,980",▼,"-400","-2.18%","1,207,984","0.09","619,282","0.01%",58.98
419,'006380,카프로,"3,660", ,"0","0%","0","","618,540","0.01%",0.00
420,'030520,한글과컴퓨터,"25,550",▼,"-100","-0.39%","262,159","0.02","617,792","0.01%",76.80
421,'145720,덴티움,"55,700",▼,"-300","-0.54%","36,766","","616,534","0.01%",50.52
422,'071055,한국금융지주우,"104,900",▼,"-1,100","-1.04%","10,282","","614,531","0.01%",45.25
423,'271940,일진하이솔루스,"16,910",▼,"-40","-0.24%","39,473","","614,056","0.01%",45.09
424,'058610,에스피지,"27,650",▲,"1,150","+4.34%","547,804","0.06","613,204","0.01%",137.54
425,'000400,롯데손해보험,"1,963",▼,"-47","-2.34%","814,934","","609,190","0.01%",55.84
426,'200670,휴메딕스,"53,800",▼,"-700","-1.28%","200,123","0.04","604,170","0.01%",82.24
427,'194480,데브시스터즈,"49,400",▼,"-800","-1.59%","45,912","","602,836","0.01%",46.88
428,'025320,시노펙스,"6,810",▼,"-80","-1.16%","375,440","0.01","597,429","0.01%",49.07
429,'419530,SAMG엔터,"61,700",▲,"4,800","+8.44%","362,205","0.09","595,461","0.01%",142.46
430,'377740,바이오노트,"5,800",▼,"-110","-1.86%","72,448","","591,925","0.01%",47.75
431,'372320,큐로셀,"41,150",▼,"-150","-0.36%","40,877","","591,749","0.01%",60.42
432,'348950,제이알글로벌리츠,"2,995",▲,"25","+0.84%","449,209","","591,141","0.01%",172.05
433,'383800,LX홀딩스,"7,720",▲,"10","+0.13%","119,803","","588,887","0.01%",35.38
434,'284740,쿠쿠홈시스,"26,200",▼,"-250","-0.95%","25,167","","587,858","0.01%",49.39
435,'131290,티에스이,"52,900",▲,"200","+0.38%","118,730","0.02","585,150","0.01%",77.57
436,'005810,풍산홀딩스,"40,550",▲,"500","+1.25%","20,647","","584,621","0.01%",95.85
437,'090460,비에이치,"17,220",▼,"-250","-1.43%","342,198","0.02","580,513","0.01%",65.54
438,'084110,휴온스글로벌,"45,600",▼,"-500","-1.08%","35,520","","576,239","0.01%",153.18
439,'115180,큐리언트,"16,400",▲,"70","+0.43%","225,466","0.01","570,958","0.01%",60.03
440,'476060,온코닉테라퓨틱스,"51,500",▼,"-1,100","-2.09%","479,242","0.10","569,786","0.01%",77.24
441,'005420,코스모화학,"14,810",▼,"-570","-3.71%","264,361","0.01","568,826","0.01%",64.99
442,'002350,넥센타이어,"5,820",▼,"-20","-0.34%","45,439","","568,427","0.01%",74.62
443,'389650,넥스트바이오메디컬,"69,500",▲,"2,600","+3.89%","136,357","0.03","564,822","0.01%",63.73
444,'017810,풀무원,"14,780",▲,"450","+3.14%","458,862","0.02","563,422","0.01%",142.42
445,'101730,위메이드맥스,"6,710",▲,"20","+0.30%","40,169","","562,320","0.01%",84.82
446,'287840,인투셀,"37,600",▼,"-550","-1.44%","219,405","0.03","558,270","0.01%",86.45
447,'214430,아이쓰리시스템,"78,400",▲,"600","+0.77%","48,454","0.01","557,170","0.01%",82.84
448,'005880,대한해운,"1,722",▼,"-18","-1.03%","717,071","","555,771","0.01%",39.68
449,'095660,네오위즈,"25,400",▼,"-200","-0.78%","63,921","","555,163","0.01%",64.43
450,'121600,나노신소재,"45,450",▼,"-1,200","-2.57%","118,190","0.02","554,999","0.01%",97.04
451,'399720,가온칩스,"47,400",▼,"-450","-0.94%","86,175","0.01","549,860","0.01%",72.26
452,'010780,아이에스동서,"18,200",▲,"80","+0.44%","23,176","","549,403","0.01%",108.73
453,'009520,포스코엠텍,"13,150",▼,"-310","-2.30%","473,917","0.02","547,602","0.01%",57.60
454,'006220,제주은행,"14,450",▼,"-450","-3.02%","2,846,076","0.18","546,189","0.01%",70.95
455,'336370,솔루스첨단소재,"7,700",▼,"-30","-0.39%","89,036","","540,674","0.01%",66.34
456,'228760,지노믹트리,"22,150",▲,"1,150","+5.48%","588,740","0.05","539,943","0.01%",109.09
457,'036620,감성코퍼레이션,"5,960",▼,"-20","-0.33%","323,610","","539,402","0.01%",68.06
458,'002960,한국쉘석유,"413,000",▲,"1,500","+0.36%","2,188","","536,900","0.01%",73.12
459,'145990,삼양사,"52,000",▲,"400","+0.78%","6,541","","536,299","0.01%",135.47
460,'099190,아이센스,"19,380",▼,"-120","-0.62%","142,382","0.01","534,635","0.01%",111.91
461,'053030,바이넥스,"16,340",▼,"-170","-1.03%","239,713","0.01","534,060","0.01%",50.98
462,'003545,대신증권우,"20,500",▼,"-100","-0.49%","34,580","","533,000","0.01%",58.80
463,'097520,엠씨넥스,"29,500",▲,"950","+3.33%","65,432","","530,343","0.01%",156.94
464,'033100,제룡전기,"33,000",▲,"450","+1.38%","108,695","0.01","530,059","0.01%",103.50
465,'016380,KG스틸,"5,280",▼,"-30","-0.56%","67,170","","528,047","0.01%",56.62
466,'348210,넥스틴,"49,850",▲,"750","+1.53%","84,624","0.01","522,279","0.01%",116.37
467,'195870,해성디에스,"30,650",▼,"-100","-0.33%","253,004","0.03","521,050","0.01%",75.12
468,'002020,코오롱,"41,100",▼,"-2,100","-4.86%","127,798","0.02","518,946","0.01%",58.84
469,'089590,제주항공,"6,430",▼,"-10","-0.16%","71,980","","518,522","0.01%",146.96
470,'119850,지엔씨에너지,"31,450",▼,"-550","-1.72%","213,154","0.02","517,318","0.01%",64.76
471,'001500,현대차증권,"8,360",▼,"-60","-0.71%","86,077","","516,924","0.01%",46.19
472,'016800,퍼시스,"44,900",▼,"-150","-0.33%","296","","516,350","0.01%",159.04
473,'322000,HD현대에너지솔루션,"45,800",▼,"-850","-1.82%","110,137","0.02","512,960","0.01%",54.50
474,'093050,LF,"17,500",▼,"-80","-0.46%","19,080","","511,700","0.01%",57.06
475,'048410,현대바이오,"5,320",▼,"-130","-2.39%","702,858","0.01","510,938","0.01%",59.29
476,'101930,인화정공,"55,300",▲,"1,700","+3.17%","9,624","","510,578","0.01%",139.86
477,'034310,NICE,"13,740",▼,"-90","-0.65%","30,903","","510,145","0.01%",67.10
478,'017940,E1,"74,300",▼,"-900","-1.20%","9,637","","509,698","0.01%",58.90
479,'003300,한일홀딩스,"16,520",▲,"10","+0.06%","10,311","","509,359","0.01%",94.10
480,'091810,티웨이항공,"1,863",▲,"35","+1.91%","264,240","","507,049","0.01%",164.31
481,'356860,티엘비,"51,500",▼,"-500","-0.96%","196,556","0.04","506,380","0.01%",53.89
482,'189300,인텔리안테크,"47,100",▲,"350","+0.75%","52,138","0.01","505,540","0.01%",91.67
483,'004690,삼천리,"124,200",▲,"200","+0.16%","10,517","","503,634","0.01%",78.84
484,'058970,엠로,"40,750",▼,"-400","-0.97%","54,805","","503,142","0.01%",52.16
485,'005390,신성통상,"4,100", ,"0","0%","0","","589,204","0.01%",0.00
