일자,현재가,대비부호,전일대비,등락율,체결수량,프로그램매도금액,프로그램매수금액,프로그램순매수금액,프로그램순매수금액증감,프로그램매도수량,프로그램매수수량,프로그램순매수수량,프로그램순매수수량증감,거래소구분
20260720,159000,0,0,0.00,0,0,0,0,+5443,0,0,0,+34009,KRX
20260716,-159000,5,-8700,-5.19,534692,50776,45333,--5443,--6574,316819,282810,--34009,--40564,KRX
20260715,+167700,2,+2300,+1.39,546853,39584,40715,+1131,+4985,235138,241693,+6555,+29282,KRX
20260714,-165400,5,-4600,-2.71,569154,48394,44540,--3854,--12346,292542,269815,--22727,--72674,KRX
20260713,-170000,5,-8900,-4.97,413204,32838,41330,+8492,--17605,190785,240732,+49947,--95961,KRX
20260710,+178900,2,+18300,+11.39,706177,50241,76338,+26097,+13040,281645,427553,+145908,+64541,KRX
20260709,-160600,5,-8500,-5.03,576242,39370,52427,+13057,+2433,241076,322443,+81367,+17693,KRX
20260708,-169100,5,-17300,-9.28,709515,58469,69093,+10624,--27686,339892,403566,+63674,--145235,KRX
20260707,-186400,5,-9300,-4.75,763050,46791,85101,+38310,+20130,254722,463631,+208909,+118296,KRX
20260706,-195700,5,-4800,-2.39,509298,43869,62049,+18180,+19681,221874,312487,+90613,+98108,KRX
20260703,+200500,2,+3100,+1.57,419619,40081,38580,--1501,+9876,202532,195037,--7495,+50965,KRX
20260702,+197400,2,+7600,+4.00,724151,71714,60337,--11377,--22395,365678,307218,--58460,--118711,KRX
20260701,+189800,2,+16800,+9.71,491669,34694,45712,+11018,+19908,186890,247141,+60251,+111232,KRX
20260630,-173000,5,-11900,-6.44,485861,42301,33411,--8890,--13457,241745,190764,--50981,--77119,KRX
20260629,+184900,2,+15100,+8.89,623798,43449,48016,+4567,+7460,241898,268036,+26138,+42612,KRX
20260626,-169800,5,-13200,-7.21,866962,80448,77555,--2893,--5261,476554,460080,--16474,--29925,KRX
