일자,현재가,대비부호,전일대비,등락율,체결수량,프로그램매도금액,프로그램매수금액,프로그램순매수금액,프로그램순매수금액증감,프로그램매도수량,프로그램매수수량,프로그램순매수수량,프로그램순매수수량증감,거래소구분
20260720,190000,0,0,0.00,0,0,0,0,--29264,0,0,0,--155217,KRX
20260716,+190000,2,+400,+0.21,737459,43498,72762,+29264,+990,230590,385807,+155217,+6526,KRX
20260715,+189600,2,+6400,+3.49,674208,34602,62876,+28274,+17176,182329,331020,+148691,+88441,KRX
20260714,-183200,5,-4800,-2.55,946614,50197,61295,+11098,+1274,271590,331840,+60250,+8330,KRX
20260713,-188000,5,-3300,-1.73,757031,42774,52598,+9824,--29689,225846,277766,+51920,--153441,KRX
20260710,+191300,2,+6900,+3.74,725383,28804,68317,+39513,+40392,149989,355350,+205361,+208421,KRX
20260709,-184400,5,-8300,-4.31,1207585,79410,78531,--879,--7180,423591,420531,--3060,--35039,KRX
20260708,-192700,5,-4500,-2.28,1090495,79332,85633,+6301,--47009,410080,442059,+31979,--240122,KRX
20260707,+197200,2,+600,+0.31,1077802,38084,91394,+53310,+61814,194596,466697,+272101,+315646,KRX
20260706,+196600,2,+800,+0.41,686793,35103,26599,--8504,--4428,178688,135143,--43545,--21906,KRX
20260703,-195800,5,-4100,-2.05,1111357,73690,69614,--4076,--43566,378137,356498,--21639,--219053,KRX
20260702,+199900,2,+2500,+1.27,1162498,55494,94984,+39490,+29658,279222,476636,+197414,+147078,KRX
20260701,-197400,5,-1600,-0.80,1015743,54315,64147,+9832,+24552,274761,325097,+50336,+123843,KRX
20260630,-199000,5,-5000,-2.45,822445,81909,67189,--14720,--26425,409319,335812,--73507,--131107,KRX
20260629,+204000,2,+7600,+3.87,1093200,83234,94939,+11705,+14389,414244,471844,+57600,+71268,KRX
20260626,-196400,5,-3300,-1.65,1473699,84019,81335,--2684,--7382,429098,415430,--13668,--35769,KRX
20260625,+199700,2,+300,+0.15,1024898,71888,76586,+4698,+78964,355013,377114,+22101,+394211,KRX
20260624,-199400,5,-3100,-1.53,1455973,142811,68545,--74266,--53841,714688,342578,--372110,--276685,KRX
20260623,-202500,5,-19500,-8.78,1683494,141740,121315,--20425,--22524,681098,585673,--95425,--105328,KRX
20260622,-222000,5,-7500,-3.27,866623,59747,61846,+2099,--43103,265302,275205,+9903,--187275,KRX
20260619,-229500,5,-5500,-2.34,2109401,173313,218515,+45202,+40067,745720,942898,+197178,+175478,KRX
20260618,-235000,5,-8500,-3.49,1322859,98648,103783,+5135,--26162,417310,439010,+21700,--106425,KRX
20260617,+243500,2,+1500,+0.62,1156913,64217,95514,+31297,+43923,265061,393186,+128125,+185447,KRX
20260616,-242000,5,-6000,-2.42,2480043,173801,161175,--12626,+4914,701361,644039,--57322,+12726,KRX
20260615,+248000,2,+1000,+0.40,2001006,192885,175345,--17540,--316469,769415,699367,--70048,--1258562,KRX
20260612,+247000,2,+23000,+10.27,5215884,191356,490285,+298929,+330316,773038,1961552,+1188514,+1327926,KRX
20260611,-224000,5,-3000,-1.32,2218764,189855,158468,--31387,+3804,849367,709955,--139412,+11720,KRX
20260610,-227000,5,-30000,-11.67,3562725,251336,216145,--35191,+48387,1075305,924173,--151132,+165489,KRX
20260609,-257000,5,-22000,-7.89,6918079,486559,402981,--83578,--251822,1882385,1565764,--316621,--915654,KRX
20260608,+279000,2,+23500,+9.20,10148390,441741,609985,+168244,+202615,1601470,2200503,+599033,+731392,KRX
20260605,-255500,5,-12000,-4.49,3143220,204969,170598,--34371,+84293,804314,671955,--132359,+322347,KRX
20260604,-267500,5,-13000,-4.63,3324373,319981,201317,--118664,+124148,1214995,760289,--454706,+453632,KRX
20260602,+280500,2,+9000,+3.31,9275907,672565,429753,--242812,--43788,2522505,1614167,--908338,--175691,KRX
20260601,+271500,2,+37500,+16.03,14505895,1010361,811337,--199024,--250841,3704976,2972329,--732647,--986032,KRX
20260529,+234000,2,+29000,+14.15,7569228,456145,507962,+51817,+70276,1943558,2196943,+253385,+347484,KRX
20260528,+205000,2,+6200,+3.12,1978430,130776,112317,--18459,--31088,644962,550863,--94099,--157382,KRX
20260527,-198800,5,-1200,-0.60,912403,58204,70833,+12629,+34100,292729,356012,+63283,+169666,KRX
20260526,-200000,5,-3000,-1.48,580181,54442,32971,--21471,--16636,270112,163729,--106383,--82011,KRX
20260522,+203000,2,+3500,+1.75,751620,69442,64607,--4835,--28115,342107,317735,--24372,--141253,KRX
20260521,+199500,2,+8000,+4.18,869601,44229,67509,+23280,+25124,221893,338774,+116881,+126490,KRX
20260520,-191500,5,-6600,-3.33,992090,58413,56569,--1844,+40402,302861,293252,--9609,+203883,KRX
20260519,-198100,5,-1900,-0.95,950434,93057,50811,--42246,--15836,469156,255664,--213492,--80616,KRX
20260518,-200000,5,-3500,-1.72,890762,81617,55207,--26410,+1121,409380,276504,--132876,--99,KRX
20260515,-203500,5,-9500,-4.46,997805,83430,55899,--27531,--50017,400755,267978,--132777,--239208,KRX
20260514,+213000,2,+11500,+5.71,1601442,126067,148553,+22486,+36941,595602,702033,+106431,+178404,KRX
20260513,-201500,5,-2500,-1.23,904464,82315,67860,--14455,+3847,408903,336930,--71973,+15644,KRX
20260512,-204000,5,-7500,-3.55,991427,91261,72959,--18302,--11253,443734,356117,--87617,--54625,KRX
20260511,-211500,5,-3500,-1.63,780013,68679,61630,--7049,--54983,323750,290758,--32992,--256687,KRX
20260508,+215000,2,+7500,+3.61,1542717,92666,140600,+47934,+48218,431764,655459,+223695,+226412,KRX
20260507,-207500,5,-500,-0.24,1014658,89703,89419,--284,+19760,430893,428176,--2717,+93903,KRX
20260506,-208000,5,-1000,-0.48,839509,67033,46989,--20044,+15515,321195,224575,--96620,+73089,KRX
20260504,-209000,5,-2000,-0.95,875803,72838,37279,--35559,+91292,347620,177911,--169709,+422300,KRX
20260430,-211000,5,-9000,-4.09,1387029,168659,41808,--126851,--93063,789172,197163,--592009,--438398,KRX
20260429,+220000,2,+500,+0.23,673160,70821,37033,--33788,--44973,319753,166142,--153611,--204475,KRX
20260428,+219500,2,+4500,+2.09,758420,50316,61501,+11185,+22635,229245,280109,+50864,+104087,KRX
20260427,+215000,2,+1000,+0.47,458738,42410,30960,--11450,+17489,196530,143307,--53223,+82021,KRX
20260424,-214000,5,-3500,-1.61,476096,55867,26928,--28939,+6998,261151,125907,--135244,+29717,KRX
20260423,+217500,2,+3500,+1.64,800536,75287,39350,--35937,--36809,346781,181820,--164961,--169050,KRX
20260422,214000,3,0,0.00,364648,30703,31575,+872,+19743,143566,147655,+4089,+92535,KRX
20260421,+214000,2,+500,+0.23,545889,50517,31646,--18871,--14626,236709,148263,--88446,--68797,KRX
20260420,-213500,5,-3000,-1.39,457862,40798,36553,--4245,--8578,190215,170566,--19649,--39993,KRX
20260417,-216500,5,-2000,-0.92,1121630,43900,48233,+4333,+8822,202908,223252,+20344,+40950,KRX
20260416,+218500,2,+7500,+3.55,752603,68329,63840,--4489,--13156,313225,292619,--20606,--62803,KRX
20260415,+211000,2,+9500,+4.71,992297,64227,72894,+8667,+3552,304015,346212,+42197,+17415,KRX
20260414,+201500,2,+2500,+1.26,623470,50860,55975,+5115,+10336,250383,275165,+24782,+51473,KRX
20260413,-199000,5,-3000,-1.49,514728,46952,41731,--5221,--21863,236719,210028,--26691,--108616,KRX
20260410,+202000,2,+500,+0.25,525142,36839,53481,+16642,+57971,181716,263641,+81925,+286804,KRX
20260409,201500,3,0,0.00,1258361,121808,80479,--41329,--44237,605774,400895,--204879,--219059,KRX
20260408,+201500,2,+5600,+2.86,699966,51443,54351,+2908,+12626,255294,269474,+14180,+63824,KRX
20260407,-195900,5,-900,-0.46,668729,54547,44829,--9718,--14696,276449,226805,--49644,--74910,KRX
20260406,-196800,5,-700,-0.35,717180,43661,48639,+4978,--12103,222066,247332,+25266,--60936,KRX
20260403,+197500,2,+1700,+0.87,659137,41975,59056,+17081,+51507,212010,298212,+86202,+258504,KRX
20260402,-195800,5,-14200,-6.76,1464904,100695,66269,--34426,--32316,503327,331025,--172302,--162219,KRX
20260401,+210000,2,+8500,+4.22,575814,48562,46452,--2110,--12010,231953,221870,--10083,--59096,KRX
20260331,-201500,5,-5500,-2.66,890860,74659,84559,+9900,+10913,369674,418687,+49013,+54125,KRX
20260330,-207000,5,-5500,-2.59,379513,35080,34067,--1013,--5646,170062,164950,--5112,--27303,KRX
20260327,+212500,2,+1000,+0.47,439328,35937,40570,+4633,+1796,170661,192852,+22191,+9104,KRX
20260326,-211500,5,-4000,-1.86,414907,35965,38802,+2837,+7521,168672,181759,+13087,+34941,KRX
20260325,+215500,2,+2000,+0.94,465850,42249,37565,--4684,--7062,195703,173849,--21854,--32789,KRX
20260324,+213500,2,+4500,+2.15,468548,35714,38092,+2378,+22781,167801,178736,+10935,+107736,KRX
20260323,-209000,5,-12500,-5.64,692498,53014,32611,--20403,--4869,251429,154628,--96801,--26756,KRX
20260320,+221500,2,+1000,+0.45,673277,76709,61175,--15534,--6632,346057,276012,--70045,--29692,KRX
20260319,-220500,5,-6000,-2.65,474188,33413,24511,--8902,+15480,151320,110967,--40353,+67395,KRX
20260318,+226500,2,+2500,+1.12,687521,65496,41114,--24382,--47339,289245,181497,--107748,--210132,KRX
20260317,+224000,2,+6000,+2.75,614390,38536,61493,+22957,+51364,171855,274239,+102384,+232291,KRX
20260316,-218000,5,-5000,-2.24,531797,51529,23122,--28407,--48601,235756,105849,--129907,--220739,KRX
20260313,+223000,2,+1000,+0.45,706127,64282,84476,+20194,+47827,289306,380138,+90832,+215209,KRX
20260312,222000,3,0,0.00,700973,82451,54818,--27633,--20816,371090,246713,--124377,--94224,KRX
20260311,+222000,2,+1500,+0.68,757145,77702,70885,--6817,+54444,344045,313892,--30153,+246562,KRX
20260310,+220500,2,+2000,+0.92,935756,105815,44554,--61261,--100218,478539,201824,--276715,--459824,KRX
20260309,-218500,5,-4000,-1.80,940462,52473,91430,+38957,+27368,245476,428585,+183109,+130859,KRX
20260306,+222500,2,+2500,+1.14,1042652,72705,84294,+11589,+66507,328487,380737,+52250,+299533,KRX
20260305,+220000,2,+12000,+5.77,1671549,172306,117388,--54918,--84334,776892,529609,--247283,--385354,KRX
20260304,-208000,5,-28000,-11.86,2051989,148943,178359,+29416,+105858,685671,823742,+138071,+451016,KRX
20260303,-236000,5,-18500,-7.27,1507045,136745,60303,--76442,+3096,561913,248968,--312945,--3222,KRX
20260227,-254500,5,-6000,-2.30,1259511,167226,87688,--79538,--129069,652665,342942,--309723,--497943,KRX
20260226,+260500,2,+7500,+2.96,1890166,100183,149714,+49531,+83854,382658,570878,+188220,+323954,KRX
20260225,-253000,5,-2000,-0.78,937503,83436,49113,--34323,--6059,329591,193857,--135734,--24867,KRX
20260224,-255000,5,-500,-0.20,652490,73928,45664,--28264,--32918,289820,178953,--110867,--129034,KRX
20260223,+255500,2,+1000,+0.39,747019,51730,56384,+4654,+17893,201287,219454,+18167,+70412,KRX
20260220,+254500,2,+1500,+0.59,948594,87091,73852,--13239,+31402,339586,287341,--52245,+124160,KRX
20260219,+253000,2,+500,+0.20,806208,86507,41866,--44641,--28312,341794,165389,--176405,--111742,KRX
20260213,-252500,5,-3000,-1.17,820046,63538,47209,--16329,--5917,251433,186770,--64663,--25387,KRX
20260212,-255500,5,-2000,-0.78,1404228,106461,96049,--10412,+11943,413804,374528,--39276,+47899,KRX
20260211,+257500,2,+3500,+1.38,1133876,91049,68694,--22355,--7503,353890,266715,--87175,--28904,KRX
20260210,+254000,2,+4000,+1.60,1475536,100640,85788,--14852,+51778,394271,336000,--58271,+207882,KRX
20260209,+250000,2,+1000,+0.40,1426634,117225,50595,--66630,--6965,467442,201289,--266153,--24730,KRX
20260206,-249000,5,-8000,-3.11,1919017,149305,89640,--59665,--17648,603138,361715,--241423,--79378,KRX
20260205,-257000,5,-7500,-2.84,1551427,104023,62006,--42017,+9373,401360,239315,--162045,+33035,KRX
20260204,-264500,5,-4500,-1.67,1700411,106822,55432,--51390,+59320,404900,209820,--195080,+217751,KRX
20260203,+269000,2,+1000,+0.37,1894227,168541,57831,--110710,--198305,628415,215584,--412831,--737859,KRX
20260202,-268000,5,-7000,-2.55,1862631,81631,169226,+87595,+120085,300789,625817,+325028,+440475,KRX
20260130,-275000,5,-12000,-4.18,1819960,113482,80992,--32490,--108219,407588,292141,--115447,--382447,KRX
20260129,+287000,2,+9500,+3.42,2812259,115735,191464,+75729,+3153,408304,675304,+267000,+3843,KRX
20260128,-277500,5,-4000,-1.42,2822531,125825,198401,+72576,--51245,450171,713328,+263157,--173494,KRX
20260127,+281500,2,+9000,+3.30,4948006,159563,283384,+123821,+61575,562147,998798,+436651,+205274,KRX
20260126,+272500,2,+6500,+2.44,2706664,116775,179021,+62246,--142433,431111,662488,+231377,--549187,KRX
