code,name,strat_a_cum,strat_a_sharpe,strat_a_win,strat_a_mdd,strat_b_cum,strat_b_sharpe,strat_b_win,strat_b_mdd,bench_cum,bench_sharpe,bench_win,bench_mdd
005930,삼성전자,1.7762270587891926,0.28120722697305944,49.80237154150198,-8.731440935497327,17.28585717762332,2.2810285802513346,58.10276679841897,-6.515622789481867,11.677848025723115,0.7967570227600489,46.24505928853755,-11.446723280775517
000660,SK하이닉스,0.883480178496443,0.13602311009773488,46.6403162055336,-6.023101143542486,43.23478580485127,3.561522898143577,59.683794466403164,-6.0954871085421685,23.2873780892604,1.0008935288061507,47.82608695652174,-13.606739319337827
034020,두산에너빌리티,1.7241639336446735,0.22492222112844543,48.205128205128204,-10.004089039215119,21.935198925562815,1.8544214904708762,60.0,-9.303861805168765,10.171294326101155,0.5385732929276534,47.179487179487175,-26.273305679559584
042660,한화오션,-30.997013230990657,-2.465009712214749,45.90163934426229,-37.956685244442234,116.20203075980812,5.710276825873836,69.94535519125684,-4.559554778161779,5.949883842435355,0.39589914383548386,46.44808743169399,-23.803044636550077
064350,F&F,9.483451236215124,1.1261899843156613,53.90625,-8.39918789105864,52.84444507308454,5.198304843950267,60.9375,-3.9425195143002636,36.31339409284146,1.7588457273490594,54.6875,-21.921169447371074
196170,넷마블,-25.678375347902783,-2.265391832680308,48.64864864864865,-28.2777828164245,66.24830070381178,4.219193001529955,62.70270270270271,-7.49772947206193,17.250923434974077,0.8016075807328893,46.48648648648649,-21.341485236119514
035420,NAVER,2.590987938996281,0.40908077728130704,47.43589743589743,-5.8958775738505,22.45632983324082,2.877317889761611,58.333333333333336,-5.374161493811309,-26.313629523711512,-1.6687221968850858,41.02564102564102,-31.367870794340913
012450,한화에어로스페이스,1.4587360558595552,0.20425533760751943,50.54945054945055,-7.584639713853783,103.22921896732512,6.528710895103744,67.58241758241759,-2.659795530351612,75.73301258825249,2.2916176585330543,54.395604395604394,-22.599372418395212
000100,유한양행,-7.113223300379923,-0.8952798902110978,44.554455445544555,-14.890143361763503,33.06627150812091,4.038977647196748,66.33663366336634,-5.1951145049546055,2.0455306189764544,0.3271146898512701,46.53465346534654,-25.96421822704187
035720,카카오,0.03846558907747433,0.10113793549871061,50.51546391752577,-12.238565035059738,53.868459707530846,6.367458371753412,65.97938144329896,-4.4000992652107875,43.93293961146041,2.5122729897632543,47.42268041237113,-15.39800018977533
