시장,종목코드,종목명,현재가,대비부호,전일대비,매수체결수량,매수체결금액,매도체결수량,매도체결금액,순매수금액,전체거래비중
KOSDAQ,036480,대성미생물,6500,3,0,5,44,1,8,36,+0.00
KOSDAQ,079170,한창산업,4750,3,0,3,18,2,16,2,+0.00
KOSDAQ,052300,오션인더블유,1510,3,0,18,6,5,2,4,+0.00
KOSDAQ,083660,CSA 코스믹,230,3,0,2,2,3,3,-1,+0.00
KOSDAQ,430690,한싹,2250,3,0,80,354,31,137,217,+0.02
KOSDAQ,045510,정원엔시스,761,3,0,0,0,0,0,0,+0.00
KOSDAQ,033200,모아텍,2645,3,0,1,2,1,2,0,+0.00
KOSDAQ,085810,알티캐스트,1721,3,0,121,91,42,31,60,+0.00
KOSDAQ,300120,라온피플,490,3,0,24,94,6,22,72,+0.00
KOSDAQ,053950,경남제약,1551,3,0,222,163,119,88,75,+0.01
KOSDAQ,277410,인산가,6300,3,0,8,10,1,1,9,+0.00
KOSDAQ,070590,인티큐브,1740,3,0,6,6,4,4,2,+0.00
KOSDAQ,208350,지란지교시큐리티,2970,3,0,2,5,0,0,5,+0.00
KOSDAQ,063760,이엘피,2580,3,0,0,1,0,1,0,+0.00
KOSDAQ,073540,에프알텍,2110,3,0,0,0,0,1,-1,+0.00
KOSDAQ,222980,한국맥널티,2175,3,0,1,5,1,5,0,+0.00
KOSDAQ,224060,더코디,4640,3,0,1,5,1,4,1,+0.00
KOSDAQ,363260,모비데이즈,744,3,0,606,1195,810,1599,-404,+0.10
KOSDAQ,373170,엠아이큐브솔루션,1580,3,0,1,11,2,15,-4,+0.00
KOSDAQ,131100,티엔엔터테인먼트,740,3,0,3,4,4,6,-2,+0.00
KOSDAQ,060380,동양에스텍,1209,3,0,1,2,3,4,-2,+0.00
KOSDAQ,193250,링크드,1780,3,0,534,274,525,272,2,+0.02
KOSDAQ,032790,엠젠솔루션,926,3,0,8,9,21,25,-16,+0.00
KOSDAQ,257370,피엔티엠에스,1900,3,0,52,203,42,171,32,+0.01
KOSDAQ,318020,포인트모바일,1921,3,0,1,3,1,2,1,+0.00
KOSDAQ,043200,파루,565,3,0,2,1,1,0,1,+0.00
KOSDAQ,044780,에이치케이,1266,3,0,2,2,2,3,-1,+0.00
KOSDAQ,067010,이씨에스,2150,3,0,4,11,0,1,10,+0.00
KOSDAQ,054090,삼진엘앤디,937,3,0,5,4,1,1,3,+0.00
KOSDAQ,347770,핌스,1020,3,0,3,7,3,6,1,+0.00
KOSDAQ,001000,신라섬유,960,3,0,7,7,3,3,4,+0.00
KOSDAQ,290520,신도기연,1480,3,0,0,0,1,3,-3,+0.00
KOSDAQ,056730,CNT85,1567,3,0,0,0,0,0,0,+0.00
KOSDAQ,153490,우리이앤엘하루틴,450,3,0,9,6,9,7,-1,+0.00
KOSDAQ,298060,풍전약품,2615,3,0,104,224,83,179,45,+0.01
KOSDAQ,403490,우듬지팜,502,3,0,113,205,119,218,-13,+0.01
KOSDAQ,429270,시지트로닉스,3565,3,0,5,23,0,1,22,+0.00
KOSDAQ,405920,나라셀라,1784,3,0,3,9,3,8,1,+0.00
KOSDAQ,109670,씨싸이트,3935,3,0,12,102,2,14,88,+0.00
KOSDAQ,019570,플루토스,481,3,0,113,36,60,19,17,+0.00
KOSDAQ,232830,아이티센피엔에스,1380,3,0,4,7,2,3,4,+0.00
KOSDAQ,007770,한일화학,6500,3,0,0,1,0,3,-2,+0.00
KOSDAQ,134060,이퓨쳐,4770,3,0,0,1,0,0,1,+0.00
KOSDAQ,359090,씨엔알리서치,1974,3,0,47,54,37,43,11,+0.00
KOSDAQ,076080,웰크론한텍,1004,3,0,1,1,5,6,-5,+0.00
KOSDAQ,469750,아이비젼웍스,655,3,0,175,214,35,42,172,+0.01
KOSDAQ,058450,한주에이알티,4500,3,0,1,1,2,3,-2,+0.00
KOSDAQ,210120,캔버스엔,930,3,0,4,93,4,81,12,+0.01
KOSDAQ,353190,휴럼,2855,3,0,7,5,10,7,-2,+0.00
KOSDAQ,065650,하이퍼코퍼레이션,2050,3,0,12,14,15,17,-3,+0.00
KOSDAQ,415380,스튜디오삼익,1946,3,0,4,33,0,3,30,+0.00
KOSDAQ,241840,에이스토리,2330,3,0,4,28,1,7,21,+0.00
KOSDAQ,032080,아즈텍WB,1034,3,0,0,0,0,0,0,+0.00
KOSDAQ,130740,티피씨글로벌,1970,3,0,4,7,3,5,2,+0.00
KOSDAQ,131180,딜리,3775,3,0,1,1,4,3,-2,+0.00
KOSDAQ,016100,리더스코스메틱,1160,3,0,1,1,1,3,-2,+0.00
KOSDAQ,090150,아이윈,529,3,0,12,9,7,5,4,+0.00
KOSDAQ,023770,플레이위드,2450,3,0,32,118,3,10,108,+0.00
KOSDAQ,352940,인바이오,2015,3,0,0,1,1,1,0,+0.00
KOSDAQ,383930,디티앤씨알오,1709,3,0,22,132,66,385,-253,+0.02
KOSDAQ,115480,씨유메디칼,1780,3,0,3,2,5,3,-1,+0.00
KOSDAQ,080470,성창오토텍,2955,3,0,0,1,0,2,-1,+0.00
KOSDAQ,377030,비트맥스,1504,3,0,282,430,55,84,346,+0.02
KOSDAQ,067730,로지시스,2205,3,0,1,1,1,2,-1,+0.00
KOSDAQ,014100,메디앙스,1790,3,0,0,0,1,2,-2,+0.00
KOSDAQ,017250,인터엠,996,3,0,0,0,0,0,0,+0.00
KOSDAQ,362990,드림인사이트,1247,3,0,15,27,4,7,20,+0.00
KOSDAQ,096690,에이루트,5200,3,0,3,3,4,5,-2,+0.00
KOSDAQ,078590,휴림에이텍,2090,3,0,45,26,7,4,22,+0.00
KOSDAQ,258790,소프트캠프,4170,3,0,3,2,2,2,0,+0.00
KOSDAQ,049120,파인디앤씨,1959,3,0,2,2,1,1,1,+0.00
KOSDAQ,054410,케이피티유,3625,3,0,0,0,0,0,0,+0.00
KOSDAQ,139670,키네마스터,1470,3,0,2,5,1,4,1,+0.00
KOSDAQ,275630,에스에스알,3950,3,0,0,1,0,1,0,+0.00
KOSDAQ,065370,위세아이텍,2805,3,0,1,3,1,5,-2,+0.00
KOSDAQ,023790,동일스틸럭스,1583,3,0,1,1,1,1,0,+0.00
KOSDAQ,039310,세중,1140,3,0,2,3,1,2,1,+0.00
KOSDAQ,223310,사토시홀딩스,3945,3,0,51,101,44,92,9,+0.01
KOSDAQ,353590,오토앤,1594,3,0,26,106,11,45,61,+0.01
KOSDAQ,195990,루트K,630,3,0,135,64,28,13,51,+0.00
KOSDAQ,192390,윈하이텍,1860,3,0,350,1526,231,1061,465,+0.09
KOSDAQ,440320,오픈놀,2055,3,0,4,17,1,6,11,+0.00
KOSDAQ,098660,에스티오,1639,3,0,10,26,3,9,17,+0.00
KOSDAQ,373110,엑셀세라퓨틱스,1184,3,0,97,452,25,117,335,+0.02
KOSDAQ,065060,지엔코,3400,3,0,10,3,5,1,2,+0.00
KOSDAQ,419540,비스토스,3410,3,0,31,56,7,12,44,+0.00
KOSDAQ,101400,엔시트론,1728,3,0,100,38,81,31,7,+0.00
KOSDAQ,368970,오에스피,2310,3,0,2,5,1,2,3,+0.00
KOSDAQ,365900,브이씨,2760,3,0,0,0,0,1,-1,+0.00
KOSDAQ,317120,라닉스,1322,3,0,1,3,0,1,2,+0.00
KOSDAQ,115570,스타플렉스,2515,3,0,84,222,59,158,64,+0.01
KOSDAQ,322780,코퍼스코리아,2235,3,0,249,230,256,243,-13,+0.02
KOSDAQ,101680,한국정밀기계,2385,3,0,26,65,8,21,44,+0.00
KOSDAQ,331520,밸로프,1969,3,0,16,10,13,8,2,+0.00
KOSDAQ,048830,엔피케이,1068,3,0,0,0,0,0,0,+0.00
KOSDAQ,038530,케이바이오랩스,862,3,0,67,16,56,14,2,+0.00
KOSDAQ,021040,대호특수강,917,3,0,0,0,0,0,0,+0.00
KOSDAQ,424760,벨로크,1978,3,0,6,5,3,3,2,+0.00
KOSDAQ,096870,엘디티,2375,3,0,0,1,0,1,0,+0.00
KOSDAQ,361670,삼영에스앤씨,3495,3,0,4,20,1,3,17,+0.00
KOSDAQ,238200,비피도,2420,3,0,1,3,1,5,-2,+0.00
KOSDAQ,351870,차이커뮤니케이션,1768,3,0,76,730,51,488,242,+0.04
KOSDAQ,073570,리튬포어스,1635,3,0,106,198,87,162,36,+0.01
KOSDAQ,372800,아이티아이즈,2795,3,0,0,2,0,1,1,+0.00
KOSDAQ,252500,세화피앤씨,471,3,0,23,20,8,7,13,+0.00
KOSDAQ,377330,이지트로닉스,2395,3,0,2,8,0,1,7,+0.00
KOSDAQ,032280,삼일,1198,3,0,1,2,3,6,-4,+0.00
KOSDAQ,034940,조아제약,625,3,0,0,0,1,1,-1,+0.00
KOSDAQ,214610,롤링스톤,2290,3,0,2665,4355,2002,3298,1057,+0.26
KOSDAQ,200350,아티스트스튜디오,1917,3,0,83,1538,86,1607,-69,+0.11
KOSDAQ,285800,진영,1093,3,0,3,7,9,23,-16,+0.00
KOSDAQ,438700,버넥트,1703,3,0,35,102,19,57,45,+0.01
KOSDAQ,154030,아시아종묘,1569,3,0,1,1,1,1,0,+0.00
KOSDAQ,020400,대동금속,2965,3,0,7,52,3,20,32,+0.00
KOSDAQ,088290,이원컴포텍,2370,3,0,12,12,8,8,4,+0.00
KOSDAQ,043360,디지아이,2100,3,0,2,5,2,4,1,+0.00
KOSDAQ,054220,비츠로시스,1500,3,0,6,3,5,2,1,+0.00
KOSDAQ,006050,국영지앤엠,540,3,0,1682,3208,1832,3655,-447,+0.24
KOSDAQ,045520,크린앤사이언스,2895,3,0,5,22,0,1,21,+0.00
KOSDAQ,032800,판타지오,1510,3,0,45,28,8,5,23,+0.00
KOSDAQ,191410,육일씨엔에쓰,1677,3,0,0,1,1,1,0,+0.00
KOSDAQ,031860,디에이치엑스컴퍼니,693,3,0,5,4,2,2,2,+0.00
KOSDAQ,103230,에스앤더블류,2590,3,0,4,13,3,10,3,+0.00
KOSDAQ,196700,웹스,1290,3,0,0,1,2,3,-2,+0.00
KOSDAQ,060260,뉴보텍,1388,3,0,16,17,5,5,12,+0.00
KOSDAQ,037400,우리엔터프라이즈,706,3,0,1,1,2,2,-1,+0.00
KOSDAQ,303530,이노뎁,2520,3,0,5,37,0,3,34,+0.00
KOSDAQ,050760,에스폴리텍,1132,3,0,0,0,1,1,-1,+0.00
KOSDAQ,065770,CS,1905,3,0,80,85,76,81,4,+0.01
KOSDAQ,137940,넥스트아이,2165,3,0,23,8,10,3,5,+0.00
KOSDAQ,084440,유비온,963,3,0,1000,1124,1032,1167,-43,+0.08
KOSDAQ,431190,케이쓰리아이,2460,3,0,22,111,4,19,92,+0.00
KOSDAQ,304840,피플바이오,750,3,0,53,192,15,53,139,+0.01
KOSDAQ,069330,유아이디,1074,3,0,2,3,1,1,2,+0.00
KOSDAQ,215480,토박스코리아,2025,3,0,6,14,3,7,7,+0.00
KOSDAQ,274400,이노시뮬레이션,1993,3,0,9,41,0,1,40,+0.00
KOSDAQ,032680,소프트센,865,3,0,178,55,57,18,37,+0.00
KOSDAQ,140430,카티스,1670,3,0,56,142,10,25,117,+0.01
KOSDAQ,018620,우진비앤지,2510,3,0,0,0,2,2,-2,+0.00
KOSDAQ,236810,엔비티,1020,3,0,26,88,2,7,81,+0.00
KOSDAQ,225590,패션플랫폼,3375,3,0,2,2,2,2,0,+0.00
KOSDAQ,060900,에이전트AI,4310,3,0,8,9,7,7,2,+0.00
KOSDAQ,154040,다산솔루에타,795,3,0,6,7,9,10,-3,+0.00
KOSDAQ,301300,바이브컴퍼니,1306,3,0,4,17,4,15,2,+0.00
KOSDAQ,067770,세진티에스,2045,3,0,1,1,1,1,0,+0.00
KOSDAQ,306040,에스제이그룹,1736,3,0,3,17,1,6,11,+0.00
KOSDAQ,142760,모아라이프플러스,405,3,0,16,21,4,5,16,+0.00
KOSDAQ,291810,핀텔,1501,3,0,2,4,2,3,1,+0.00
KOSDAQ,328380,솔트웨어,2490,3,0,15,14,4,4,10,+0.00
KOSDAQ,239340,이스트에이드,630,3,0,0,0,0,1,-1,+0.00
KOSDAQ,027580,상보,1436,3,0,1358,1608,1474,1749,-141,+0.12
KOSDAQ,078860,아이오케이이엔엠,2745,3,0,7,53,3,22,31,+0.00
KOSDAQ,482680,미래에셋비전스팩7호,2055,3,0,4,9,1,2,7,+0.00
KOSDAQ,241820,피씨엘,6040,3,0,120,83,15,11,72,+0.00
KOSDAQ,309930,조이웍스앤코,870,3,0,39,100,4,11,89,+0.00
KOSDAQ,477380,미래에셋비전스팩4호,2060,3,0,5,10,0,0,10,+0.00
KOSDAQ,115610,이미지스,1385,3,0,35,74,57,120,-46,+0.01
KOSDAQ,335870,윙스풋,973,3,0,7,12,9,14,-2,+0.00
KOSDAQ,200230,텔콘RF제약,2250,3,0,30,17,28,16,1,+0.00
KOSDAQ,110020,전진바이오팜,1762,3,0,10,27,6,15,12,+0.00
KOSDAQ,344860,이노진,1323,3,0,0,0,0,0,0,+0.00
KOSDAQ,240600,유진테크놀로지,2285,3,0,12,62,1,4,58,+0.00
KOSDAQ,065690,파커스,1125,3,0,164,244,160,240,4,+0.02
KOSDAQ,043590,웰킵스하이텍,1163,3,0,8,4,5,3,1,+0.00
KOSDAQ,308100,형지글로벌,656,3,0,4,11,1,2,9,+0.00
KOSDAQ,002680,한탑,2430,3,0,3,2,7,5,-3,+0.00
KOSDAQ,469880,하나30호스팩,2115,3,0,0,0,0,0,0,+0.00
KOSDAQ,083470,이엠앤아이,719,3,0,1,1,2,2,-1,+0.00
KOSDAQ,477340,에이치엠씨제7호스팩,2040,3,0,0,0,0,0,0,+0.00
KOSDAQ,115530,씨엔플러스,1935,3,0,31,13,1,1,12,+0.00
KOSDAQ,101000,KS인더스트리,384,3,0,19,38,61,125,-87,+0.01
KOSDAQ,368600,아이씨에이치,590,3,0,35,114,3,11,103,+0.00
KOSDAQ,113810,디젠스,465,3,0,24,16,19,13,3,+0.00
KOSDAQ,060480,국일신동,1368,3,0,1,1,1,2,-1,+0.00
KOSDAQ,131760,파인텍,1740,3,0,7,5,8,6,-1,+0.00
KOSDAQ,354200,엔젠바이오,1668,3,0,42,111,23,61,50,+0.01
KOSDAQ,035620,바른손이앤에이,796,3,0,11,5,9,4,1,+0.00
KOSDAQ,303030,지니틱스,1610,3,0,23,23,4,4,19,+0.00
KOSDAQ,473050,유안타제15호스팩,2085,3,0,2,4,0,0,4,+0.00
KOSDAQ,028080,휴맥스홀딩스,5760,3,0,1,2,1,4,-2,+0.00
KOSDAQ,377220,프롬바이오,513,3,0,15,30,5,10,20,+0.00
