일자,현재가,대비부호,전일대비,등락율,체결수량,프로그램매도금액,프로그램매수금액,프로그램순매수금액,프로그램순매수금액증감,프로그램매도수량,프로그램매수수량,프로그램순매수수량,프로그램순매수수량증감,거래소구분
20260424,-48050,5,-350,-0.72,1064052,16531,16239,--292,+8130,345039,338765,--6274,+167810,KRX
20260423,-48400,5,-50,-0.10,1658254,33121,24699,--8422,--5279,684785,510701,--174084,--109202,KRX
20260422,-48450,5,-500,-1.02,1143499,24756,21613,--3143,+9623,511909,447027,--64882,+196853,KRX
20260421,+48950,2,+100,+0.20,1316511,30972,18206,--12766,--305,634575,372840,--261735,--8267,KRX
20260420,-48850,5,-1150,-2.30,1125279,28073,15612,--12461,--12501,571097,317629,--253468,--254323,KRX
20260417,-50000,5,-600,-1.19,890443,18197,18237,+40,--4026,363813,364668,+855,--78866,KRX
20260416,+50600,2,+1000,+2.02,1290032,27978,32044,+4066,+7552,553340,633061,+79721,+150112,KRX
20260415,+49600,2,+1500,+3.12,1413990,28471,24985,--3486,--6375,573508,503117,--70391,--129515,KRX
20260414,+48100,2,+1100,+2.34,1049751,16733,19622,+2889,--4077,345950,405074,+59124,--89142,KRX
20260413,-47000,5,-700,-1.47,829991,15791,22757,+6966,+2812,336801,485067,+148266,+61328,KRX
20260410,+47700,2,+400,+0.85,691399,12486,16640,+4154,+7015,262140,349078,+86938,+147405,KRX
20260409,-47300,5,-550,-1.15,1128075,26511,23650,--2861,--1116,560079,499612,--60467,--23396,KRX
20260408,+47850,2,+1450,+3.13,1615185,34645,32900,--1745,--32887,724293,687222,--37071,--706373,KRX
20260407,+46400,2,+1550,+3.46,1991813,26708,57850,+31142,+28762,575991,1245293,+669302,+615579,KRX
20260406,-44850,5,-350,-0.77,1223887,22662,25042,+2380,--352,506074,559797,+53723,--6846,KRX
20260403,-45200,5,-200,-0.44,1076743,11292,14024,+2732,+8337,248439,309008,+60569,+182098,KRX
20260402,-45400,5,-2850,-5.91,1527044,23642,18037,--5605,--8504,508750,387221,--121529,--181489,KRX
20260401,+48250,2,+2450,+5.35,1269138,22143,25042,+2899,+7195,463731,523691,+59960,+153935,KRX
20260331,-45800,5,-1300,-2.76,1706215,37040,32744,--4296,+557,804480,710505,--93975,+10194,KRX
20260330,-47100,5,-1700,-3.48,1053235,24613,19760,--4853,--15726,523987,419818,--104169,--329640,KRX
20260327,+48800,2,+150,+0.31,1271649,16578,27451,+10873,+4523,344386,569857,+225471,+96307,KRX
20260326,-48650,5,-400,-0.82,1231315,15532,21882,+6350,+7082,317467,446631,+129164,+144628,KRX
20260325,+49050,2,+850,+1.76,1232140,23473,22741,--732,--12304,475879,460415,--15464,--256763,KRX
20260324,+48200,2,+1300,+2.77,1301472,17693,29265,+11572,+41763,368481,609780,+241299,+875104,KRX
20260323,-46900,5,-3100,-6.20,2105077,47314,17123,--30191,--32407,994177,360372,--633805,--678115,KRX
20260320,50000,3,0,0.00,1270502,30693,32909,+2216,+9868,612260,656570,+44310,+197215,KRX
20260319,-50000,5,-1500,-2.91,1164390,22791,15139,--7652,+5134,455004,302099,--152905,+94837,KRX
20260318,+51500,2,+200,+0.39,1814895,37558,24772,--12786,--25231,730066,482324,--247742,--489667,KRX
20260317,+51300,2,+1100,+2.19,1021895,14492,26937,+12445,+12038,282454,524379,+241925,+233404,KRX
20260316,-50200,5,-400,-0.79,1248665,25394,25801,+407,--8916,503392,511913,+8521,--176125,KRX
20260313,+50600,2,+200,+0.40,1196401,21294,30617,+9323,--1743,422414,607060,+184646,--35017,KRX
20260312,-50400,5,-500,-0.98,1596311,24269,35335,+11066,+32948,479958,699621,+219663,+638899,KRX
20260311,-50900,5,-900,-1.74,1975641,54443,32561,--21882,--20157,1048296,629060,--419236,--385946,KRX
20260310,+51800,2,+1400,+2.78,1860754,39100,37375,--1725,--3935,755274,721984,--33290,--77177,KRX
20260309,-50400,5,-3200,-5.97,2045023,32385,34595,+2210,--11750,650565,694452,+43887,--217351,KRX
20260306,+53600,2,+2400,+4.69,2823937,43885,57845,+13960,+46545,828015,1089253,+261238,+898212,KRX
20260305,+51200,2,+4150,+8.82,3724178,91786,59201,--32585,--10824,1790775,1153801,--636974,--217240,KRX
20260304,-47050,5,-9150,-16.28,6214956,111048,89287,--21761,+131684,2212885,1793151,--419734,+2242929,KRX
20260303,-56200,5,-6100,-9.79,6691339,195771,42326,--153445,--233603,3385704,723041,--2662663,--3932563,KRX
20260227,+62300,2,+900,+1.47,7242478,95038,175196,+80158,--101642,1520007,2789907,+1269900,--1717544,KRX
20260226,+61400,2,+4000,+6.97,9617787,76702,258502,+181800,+202937,1257492,4244936,+2987444,+3355856,KRX
20260225,-57400,5,-500,-0.86,2078203,50048,28911,--21137,+6098,871787,503375,--368412,+102403,KRX
20260224,-57900,5,-200,-0.34,1803888,53142,25907,--27235,--27874,917922,447107,--470815,--481325,KRX
20260223,+58100,2,+200,+0.35,1657993,31997,32636,+639,--4820,550649,561159,+10510,--81721,KRX
20260220,+57900,2,+300,+0.52,1950669,36950,42409,+5459,+43322,635387,727618,+92231,+749393,KRX
20260219,+57600,2,+200,+0.35,1988817,68173,30310,--37863,+17277,1182793,525631,--657162,+298448,KRX
20260213,-57400,5,-1400,-2.38,3156946,74419,19279,--55140,+41321,1289223,333613,--955610,+664317,KRX
20260212,-58800,5,-100,-0.17,7889505,183446,86985,--96461,--113592,3054851,1434924,--1619927,--1910466,KRX
20260211,+58900,2,+600,+1.03,1673583,23661,40792,+17131,--12741,402825,693364,+290539,--219599,KRX
20260210,+58300,2,+800,+1.39,1863119,17956,47828,+29872,+25331,307523,817661,+510138,+432594,KRX
20260209,+57500,2,+1300,+2.31,1879959,31838,36379,+4541,+86955,552834,630378,+77544,+1551257,KRX
20260206,-56200,5,-2000,-3.44,3889924,109644,27230,--82414,--76460,1958883,485170,--1473713,--1368631,KRX
20260205,-58200,5,-300,-0.51,2892778,53276,47322,--5954,+39144,908495,803413,--105082,+668387,KRX
20260204,-58500,5,-700,-1.18,2530890,67883,22785,--45098,--24706,1163280,389811,--773469,--425726,KRX
20260203,+59200,2,+800,+1.37,1997907,52025,31633,--20392,--1412,884087,536344,--347743,--26032,KRX
20260202,-58400,5,-3000,-4.89,2860783,57544,38564,--18980,--44586,972950,651239,--321711,--730444,KRX
