일자,현재가,대비부호,전일대비,등락율,체결수량,프로그램매도금액,프로그램매수금액,프로그램순매수금액,프로그램순매수금액증감,프로그램매도수량,프로그램매수수량,프로그램순매수수량,프로그램순매수수량증감,거래소구분
20260720,70800,0,0,0.00,0,0,0,0,--1147,0,0,0,--16238,KRX
20260716,+70800,2,+1300,+1.87,245221,10403,11550,+1147,--3698,148889,165127,+16238,--53458,KRX
20260715,+69500,2,+2800,+4.20,279742,10176,15021,+4845,+4599,146186,215882,+69696,+65973,KRX
20260714,-66700,5,-1400,-2.06,295357,12857,13103,+246,+1341,191831,195554,+3723,+20124,KRX
20260713,-68100,5,-400,-0.58,267788,12569,11474,--1095,--4547,183163,166762,--16401,--66418,KRX
20260710,+68500,2,+1100,+1.63,247126,8781,12233,+3452,+6575,127298,177315,+50017,+95695,KRX
20260709,-67400,5,-1700,-2.46,333259,14755,11632,--3123,--2673,216169,170491,--45678,--38809,KRX
20260708,-69100,5,-1200,-1.71,325894,15343,14893,--450,--2611,223054,216185,--6869,--37488,KRX
20260707,+70300,2,+700,+1.01,347934,14033,16194,+2161,+4508,202173,232792,+30619,+64560,KRX
20260706,-69600,5,-800,-1.14,240677,11119,8772,--2347,+61,160601,126660,--33941,+905,KRX
20260703,+70400,2,+300,+0.43,302079,13952,11544,--2408,--4733,200396,165550,--34846,--67709,KRX
20260702,-70100,5,-400,-0.57,322424,11423,13748,+2325,+1802,162405,195268,+32863,+25396,KRX
20260701,+70500,2,+300,+0.43,255921,9055,9578,+523,+2838,129325,136792,+7467,+39944,KRX
20260630,-70200,5,-3600,-4.88,279374,14748,12433,--2315,--9342,207559,175082,--32477,--130959,KRX
20260629,+73800,2,+7400,+11.14,497526,13238,20265,+7027,+10148,184249,282731,+98482,+144489,KRX
20260626,-66400,5,-4900,-6.87,388063,16626,13505,--3121,--5928,248340,202333,--46007,--84265,KRX
20260625,-71300,5,-1000,-1.38,292184,11550,14357,+2807,--3850,158896,197154,+38258,--54604,KRX
