일자,현재가,대비부호,전일대비,등락율,체결수량,프로그램매도금액,프로그램매수금액,프로그램순매수금액,프로그램순매수금액증감,프로그램매도수량,프로그램매수수량,프로그램순매수수량,프로그램순매수수량증감,거래소구분
20260720,276500,0,0,0.00,0,0,0,0,--3801,0,0,0,--13614,KRX
20260716,-276500,5,-12000,-4.16,312416,29873,33674,+3801,+24197,107233,120847,+13614,+86220,KRX
20260715,+288500,2,+9000,+3.22,694206,78395,57999,--20396,--29284,277665,205059,--72606,--106738,KRX
20260714,-279500,5,-37000,-11.69,1323134,117260,126148,+8888,+18484,420947,455079,+34132,+63945,KRX
20260713,-316500,5,-7500,-2.31,427149,52503,42907,--9596,--37347,160775,130962,--29813,--116312,KRX
20260710,+324000,2,+24000,+8.00,531416,41490,69241,+27751,+14922,128539,215038,+86499,+42964,KRX
20260709,-300000,5,-13500,-4.31,483783,40878,53707,+12829,+13961,133094,176629,+43535,+45524,KRX
20260708,-313500,5,-24000,-7.11,452829,38501,37369,--1132,--8431,120650,118661,--1989,--23439,KRX
20260707,+337500,2,+6500,+1.96,355590,29041,36340,+7299,+12796,86292,107742,+21450,+37912,KRX
20260706,-331000,5,-10500,-3.07,266040,30847,25350,--5497,+2302,93029,76567,--16462,+7459,KRX
20260703,-341500,5,-10000,-2.84,439497,46155,38356,--7799,+12694,136690,112769,--23921,+33647,KRX
20260702,-351500,5,-6500,-1.82,392958,53271,32778,--20493,--5598,149252,91684,--57568,--15905,KRX
20260701,-358000,5,-3000,-0.83,439869,49271,34376,--14895,+6774,135433,93770,--41663,+18216,KRX
20260630,-361000,5,-12000,-3.22,432302,70712,49043,--21669,--12517,195297,135418,--59879,--35012,KRX
20260629,+373000,2,+29500,+8.59,686307,68347,59195,--9152,+36315,183514,158647,--24867,+102529,KRX
20260626,-343500,5,-31500,-8.40,564203,73320,27853,--45467,--51902,206264,78868,--127396,--143464,KRX
20260625,+375000,2,+3500,+0.94,864906,82619,89054,+6435,--36483,214962,231030,+16068,--101626,KRX
20260624,+371500,2,+38500,+11.56,817479,59007,101925,+42918,+44349,163375,281069,+117694,+123361,KRX
20260623,-333000,5,-17500,-4.99,441868,40744,39313,--1431,--3716,118051,112384,--5667,--12245,KRX
20260622,-350500,5,-3000,-0.85,271277,26565,28850,+2285,+3318,77103,83681,+6578,+8261,KRX
20260619,-353500,5,-16000,-4.33,578223,96993,95960,--1033,--1155,270506,268823,--1683,--1892,KRX
20260618,-369500,5,-3500,-0.94,419564,61911,62033,+122,--19895,166307,166516,+209,--52025,KRX
20260617,+373000,2,+20500,+5.82,666473,66858,86875,+20017,+22412,184781,237015,+52234,+59529,KRX
20260616,+352500,2,+3500,+1.00,323971,41328,38933,--2395,--19256,118665,111370,--7295,--54886,KRX
20260615,+349000,2,+12000,+3.56,470446,43748,60609,+16861,+14030,124117,171708,+47591,+39243,KRX
20260612,-337000,5,-10000,-2.88,465932,46795,49626,+2831,+11851,135199,143547,+8348,+34673,KRX
20260611,+347000,2,+32000,+10.16,931418,141323,132303,--9020,--13151,415453,389128,--26325,--39701,KRX
20260610,-315000,5,-11500,-3.52,280940,29228,33359,+4131,--33792,91514,104890,+13376,--104778,KRX
20260609,+326500,2,+37000,+12.78,742097,57708,95631,+37923,+44587,179636,297790,+118154,+138739,KRX
20260608,-289500,5,-43000,-12.93,571827,63767,57103,--6664,--3314,213557,192972,--20585,--11273,KRX
20260605,-332500,5,-14000,-4.04,317313,40025,36675,--3350,+12776,118470,109158,--9312,+36484,KRX
20260604,-346500,5,-10500,-2.94,393271,51448,35322,--16126,--8138,145328,99532,--45796,--22888,KRX
20260602,-357000,5,-9000,-2.46,519988,57780,49792,--7988,+2855,160125,137217,--22908,+8906,KRX
20260601,-366000,5,-3000,-0.81,637892,87214,76371,--10843,+9531,238707,206893,--31814,+23848,KRX
20260529,-369000,5,-500,-0.14,524776,100897,80523,--20374,--7698,274303,218641,--55662,--21666,KRX
20260528,-369500,5,-17000,-4.40,474757,65726,53050,--12676,--70612,177025,143029,--33996,--185093,KRX
20260527,+386500,2,+21000,+5.75,948649,52256,110192,+57936,+84411,136811,287908,+151097,+223733,KRX
20260526,+365500,2,+1000,+0.27,464199,55965,29490,--26475,--83494,151683,79047,--72636,--225194,KRX
20260522,+364500,2,+13000,+3.70,748378,39222,96241,+57019,+70230,105541,258099,+152558,+189638,KRX
20260521,-351500,5,-8000,-2.23,444911,41854,28643,--13211,+1259,115956,78876,--37080,+3450,KRX
