일자,현재가,대비부호,전일대비,등락율,체결수량,프로그램매도금액,프로그램매수금액,프로그램순매수금액,프로그램순매수금액증감,프로그램매도수량,프로그램매수수량,프로그램순매수수량,프로그램순매수수량증감,거래소구분
20260720,1842000,0,0,0.00,0,0,0,0,+983871,0,0,0,+528504,KRX
20260716,-1842000,5,-240000,-11.53,5608812,4106459,3122588,--983871,--1336019,2213107,1684603,--528504,--688302,KRX
20260715,+2082000,2,+169000,+8.83,6046951,4295733,4647881,+352148,--662560,2034858,2194656,+159798,--370762,KRX
20260714,+1913000,2,+68000,+3.69,10447011,5039257,6053965,+1014708,+2466175,2761494,3292054,+530560,+1267049,KRX
20260713,-1845000,5,-335000,-15.37,8040043,5246819,3795352,--1451467,+305576,2697529,1961040,--736489,+58125,KRX
20260710,-2180000,5,-6000,-0.27,4827239,4836580,3079537,--1757043,--1451848,2177746,1383132,--794614,--651306,KRX
20260709,+2186000,2,+110000,+5.30,6261504,3302758,2997563,--305195,--504926,1509278,1365970,--143308,--240714,KRX
20260708,-2076000,5,-125000,-5.68,6975631,3407666,3607397,+199731,+1454924,1560607,1658013,+97406,+680393,KRX
20260707,-2201000,5,-142000,-6.06,6351195,4459145,3203952,--1255193,--946761,2040970,1457983,--582987,--453313,KRX
20260706,-2343000,5,-82000,-3.38,4235360,3063213,2754781,--308432,+897863,1283856,1154182,--129674,+376933,KRX
20260703,+2425000,2,+238000,+10.88,7984914,5639882,4433587,--1206295,--460925,2475504,1968897,--506607,--208885,KRX
20260702,-2187000,5,-373000,-14.57,7685914,5716198,4970828,--745370,--289632,2469846,2172124,--297722,--119464,KRX
20260701,-2560000,5,-90000,-3.40,4277276,3685404,3229666,--455738,+1172687,1423763,1245505,--178258,+442567,KRX
20260630,+2650000,2,+22000,+0.84,5109213,5873401,4244976,--1628425,+966795,2223681,1602856,--620825,+382561,KRX
20260629,-2628000,5,-45000,-1.68,5217788,6145077,3549857,--2595220,--970956,2368155,1364769,--1003386,--407530,KRX
20260626,-2673000,5,-244000,-8.36,7467492,6075362,4451098,--1624264,--2683538,2237587,1641731,--595856,--959822,KRX
20260625,+2917000,2,+337000,+13.06,6790853,4818268,5877542,+1059274,+4024123,1674812,2038778,+363966,+1513135,KRX
20260624,+2580000,2,+25000,+0.98,7487916,6443704,3478855,--2964849,--370181,2489033,1339864,--1149169,--212911,KRX
20260623,-2555000,5,-364000,-12.47,8050335,6842959,4248291,--2594668,--1275110,2507720,1571462,--936258,--476741,KRX
20260622,+2919000,2,+155000,+5.61,5179795,4485526,3165968,--1319558,--962623,1558856,1099339,--459517,--330716,KRX
20260619,+2764000,2,+79000,+2.94,7478195,6136603,5779668,--356935,+596565,2202699,2073898,--128801,+232360,KRX
20260618,+2685000,2,+164000,+6.51,5808765,5175652,4222152,--953500,--791727,1950332,1589171,--361161,--293653,KRX
20260617,+2521000,2,+139000,+5.84,3980010,2281935,2120162,--161773,--765709,933086,865578,--67508,--321562,KRX
20260616,+2382000,2,+94000,+4.11,3644469,1732303,2336239,+603936,+262295,733340,987394,+254054,+107140,KRX
20260615,+2288000,2,+138000,+6.42,3872910,3123317,3464958,+341641,+748635,1362959,1509873,+146914,+346572,KRX
20260612,+2150000,2,+49000,+2.33,5286416,4138523,3731529,--406994,+738040,1863534,1663876,--199658,+350927,KRX
20260611,+2101000,2,+53000,+2.59,6625775,4858884,3713850,--1145034,--707747,2341319,1790734,--550585,--344515,KRX
20260610,-2048000,5,-167000,-7.54,4928269,2958278,2520991,--437287,+437932,1418508,1212438,--206070,+187870,KRX
20260609,+2215000,2,+304000,+15.91,5878039,3947682,3072463,--875219,--796317,1850157,1456217,--393940,--363263,KRX
20260608,-1911000,5,-159000,-7.68,6610833,3744071,3665169,--78902,--169116,1903469,1872792,--30677,--74702,KRX
20260605,-2070000,5,-228000,-9.92,5778751,3078063,3168277,+90214,+168744,1455935,1499960,+44025,+80102,KRX
20260604,-2298000,5,-62000,-2.63,3941067,3369056,3290526,--78530,+1050150,1470231,1434154,--36077,+453768,KRX
20260602,-2360000,5,-3000,-0.13,5837216,4816546,3687866,--1128680,+545724,2067523,1577678,--489845,+223522,KRX
20260601,+2363000,2,+30000,+1.29,5602897,4411839,2737435,--1674404,--1415628,1877692,1164325,--713367,--604965,KRX
20260529,+2333000,2,+44000,+1.92,8518013,8564537,8305761,--258776,+1655142,3670332,3561930,--108402,+753594,KRX
20260528,+2289000,2,+46000,+2.05,6229499,4580180,2666262,--1913918,--1506820,2052633,1190637,--861996,--680209,KRX
20260527,+2243000,2,+191000,+9.31,7545783,4842986,4435888,--407098,--276824,2133338,1951551,--181787,--119208,KRX
20260526,+2052000,2,+111000,+5.72,4903591,2937283,2807009,--130274,+571875,1427054,1364475,--62579,+300388,KRX
20260522,+1941000,2,+1000,+0.05,3135190,2457534,1755385,--702149,--1305057,1268126,905159,--362967,--666704,KRX
20260521,+1940000,2,+195000,+11.17,5096690,2225269,2828177,+602908,+886328,1175885,1479622,+303737,+464280,KRX
20260520,1745000,3,0,0.00,5535123,3118666,2835246,--283420,+1095612,1791925,1631382,--160543,+620345,KRX
20260519,-1745000,5,-95000,-5.16,4575855,3399167,2020135,--1379032,--1319905,1920367,1139479,--780888,--752030,KRX
20260518,+1840000,2,+21000,+1.15,6481608,2685696,2626569,--59127,+1870770,1475936,1447078,--28858,+1001567,KRX
20260515,-1819000,5,-151000,-7.66,7485233,4568037,2638140,--1929897,--918145,2421606,1391181,--1030425,--515401,KRX
20260514,-1970000,5,-6000,-0.30,6040068,3832109,2820357,--1011752,--419311,1948246,1433222,--515024,--180444,KRX
20260513,+1976000,2,+141000,+7.68,7126921,3668221,3075780,--592441,+1754959,1945225,1610645,--334580,+908254,KRX
