일자,현재가,대비부호,전일대비,등락율,체결수량,프로그램매도금액,프로그램매수금액,프로그램순매수금액,프로그램순매수금액증감,프로그램매도수량,프로그램매수수량,프로그램순매수수량,프로그램순매수수량증감,거래소구분
20260720,255000,0,0,0.00,0,0,0,0,+154258,0,0,0,+605000,KRX
20260716,-255000,5,-24500,-8.77,27001478,2647244,2492986,--154258,--445323,10304934,9699934,--605000,--1624965,KRX
20260715,+279500,2,+16500,+6.27,24873414,2267344,2558409,+291065,+130279,8119509,9139474,+1019965,+365613,KRX
20260714,+263000,2,+8500,+3.34,40086496,3472391,3633177,+160786,+559479,13332742,13987094,+654352,+2171753,KRX
20260713,-254500,5,-30500,-10.70,31882652,2979616,2580923,--398693,--862898,11321840,9804439,--1517401,--3090416,KRX
20260710,+285000,2,+7000,+2.52,20088811,1552771,2016976,+464205,--261051,5386651,6959666,+1573015,--999620,KRX
20260709,+278000,2,+500,+0.18,29703616,2305006,3030262,+725256,+1306151,8252823,10825458,+2572635,+4578755,KRX
20260708,-277500,5,-18500,-6.25,33525758,3122145,2541250,--580895,+1079757,10946466,8940346,--2006120,+3611439,KRX
20260707,-296000,5,-22000,-6.92,32421032,3244987,1584335,--1660652,--1128958,10967271,5349712,--5617559,--3921330,KRX
20260706,+318000,2,+8500,+2.75,23872879,2199038,1667344,--531694,--829193,6975843,5279614,--1696229,--2684486,KRX
20260703,+309500,2,+23500,+8.22,31520538,2499964,2797463,+297499,+1572062,8327578,9315835,+988257,+5356488,KRX
20260702,-286000,5,-28500,-9.06,38905074,4689400,3414837,--1274563,+145300,16070447,11702216,--4368231,+61082,KRX
20260701,-314500,5,-19500,-5.84,24968382,2867074,1447211,--1419863,--1027805,8934660,4505347,--4429313,--3234834,KRX
20260630,+334000,2,+11000,+3.41,29237216,3763482,3371424,--392058,+2338427,11333519,10139040,--1194479,+7252001,KRX
20260629,-323000,5,-16500,-4.86,35436521,5472790,2742305,--2730485,--1007128,16898966,8452486,--8446480,--3331579,KRX
20260626,-339500,5,-19000,-5.30,39735951,4738950,3015593,--1723357,--2123184,14033344,8918443,--5114901,--6218412,KRX
20260625,+358500,2,+18000,+5.29,36157158,4113412,4513239,+399827,+457529,11482392,12585903,+1103511,+1279956,KRX
20260624,+340500,2,+30500,+9.84,47809959,5372549,5314847,--57702,+1188868,16149866,15973421,--176445,+3615336,KRX
