일자,현재가,대비부호,전일대비,등락율,체결수량,프로그램매도금액,프로그램매수금액,프로그램순매수금액,프로그램순매수금액증감,프로그램매도수량,프로그램매수수량,프로그램순매수수량,프로그램순매수수량증감,거래소구분
20260720,943000,0,0,0.00,0,0,0,0,--7275,0,0,0,--7934,KRX
20260716,+943000,2,+14000,+1.51,142859,63426,70701,+7275,+4962,67558,75492,+7934,+5198,KRX
20260715,+929000,2,+57000,+6.54,249391,104606,106919,+2313,+3163,112166,114902,+2736,+3526,KRX
20260714,-872000,5,-64000,-6.84,267263,107631,106781,--850,--25424,122100,121310,--790,--26655,KRX
20260713,-936000,5,-31000,-3.21,179138,48234,72808,+24574,--6417,50692,76557,+25865,--6258,KRX
20260710,+967000,2,+14000,+1.47,292728,64720,95711,+30991,+19859,67549,99672,+32123,+20256,KRX
20260709,-953000,5,-88000,-8.45,275214,112795,123927,+11132,+14005,117071,128938,+11867,+14262,KRX
20260708,-1041000,5,-81000,-7.22,175270,103066,100193,--2873,--3741,99018,96623,--2395,--3249,KRX
20260707,-1122000,5,-37000,-3.19,184231,101897,102765,+868,+8071,92424,93278,+854,+7098,KRX
20260706,-1159000,5,-16000,-1.36,140971,79525,72322,--7203,+30344,68121,61877,--6244,+26076,KRX
20260703,+1175000,2,+59000,+5.29,259176,169091,131544,--37547,+33461,146424,114104,--32320,+29083,KRX
20260702,+1116000,2,+25000,+2.29,355677,228117,157109,--71008,--76457,198337,136934,--61403,--66429,KRX
20260701,+1091000,2,+96000,+9.65,191691,94587,100036,+5449,+8858,88121,93147,+5026,+8505,KRX
20260630,-995000,5,-25000,-2.45,177757,84233,80824,--3409,+5441,84682,81203,--3479,+5335,KRX
20260629,+1020000,2,+9000,+0.89,253150,127699,118849,--8850,--3746,125921,117107,--8814,--3659,KRX
20260626,-1011000,5,-58000,-5.43,293385,143943,138839,--5104,+12709,142676,137521,--5155,+11236,KRX
20260625,-1069000,5,-25000,-2.29,270632,137636,119823,--17813,+13149,127967,111576,--16391,+12399,KRX
20260624,+1094000,2,+21000,+1.96,177303,99576,68614,--30962,--35877,92513,63723,--28790,--33077,KRX
20260623,-1073000,5,-52000,-4.62,198818,123588,128503,+4915,+7657,112814,117101,+4287,+6835,KRX
20260622,+1125000,2,+3000,+0.27,145874,90837,88095,--2742,--1422,79676,77128,--2548,--1640,KRX
20260619,-1122000,5,-67000,-5.63,456658,390179,388859,--1320,--43686,347682,346774,--908,--35645,KRX
20260618,-1189000,5,-35000,-2.86,255178,166503,208869,+42366,+56355,138301,173038,+34737,+46281,KRX
20260617,+1224000,2,+41000,+3.47,290565,181778,167789,--13989,+51794,147254,135710,--11544,+44405,KRX
20260616,+1183000,2,+99000,+9.13,369748,251505,185722,--65783,--43913,213716,157767,--55949,--36021,KRX
20260615,+1084000,2,+6000,+0.56,164769,91927,70057,--21870,--74648,83710,63782,--19928,--68893,KRX
20260612,+1078000,2,+64000,+6.31,233810,116396,169174,+52778,--195,107533,156498,+48965,--3561,KRX
20260611,-1014000,5,-17000,-1.65,216006,77593,130566,+52973,+87774,77958,130484,+52526,+86320,KRX
20260610,+1031000,2,+15000,+1.48,199694,117320,82519,--34801,--9897,114095,80301,--33794,--9282,KRX
20260609,+1016000,2,+10000,+0.99,201707,112131,87227,--24904,--23052,110119,85607,--24512,--22639,KRX
20260608,-1006000,5,-43000,-4.10,223231,98590,96738,--1852,--53549,98942,97069,--1873,--51502,KRX
20260605,-1049000,5,-19000,-1.78,185271,50072,101769,+51697,+43991,47983,97612,+49629,+42254,KRX
20260604,-1068000,5,-2000,-0.19,351981,161279,168985,+7706,+13850,151800,159175,+7375,+13150,KRX
20260602,-1070000,5,-68000,-5.98,361504,170726,164582,--6144,--81123,158999,153224,--5775,--69595,KRX
20260601,-1138000,5,-35000,-2.98,338833,114471,189450,+74979,+27948,98701,162521,+63820,+23823,KRX
20260529,-1173000,5,-27000,-2.25,348297,180243,227274,+47031,+66792,152720,192717,+39997,+56425,KRX
20260528,-1200000,5,-44000,-3.54,201634,136283,116522,--19761,+23987,113362,96934,--16428,+18397,KRX
20260527,-1244000,5,-7000,-0.56,238820,140365,96617,--43748,--40724,111215,76390,--34825,--32356,KRX
20260526,-1251000,5,-10000,-0.79,155040,99077,96053,--3024,--50567,78857,76388,--2469,--40585,KRX
20260522,+1261000,2,+13000,+1.04,224282,61747,109290,+47543,+74799,49387,87503,+38116,+59948,KRX
20260521,-1248000,5,-1000,-0.08,159803,113801,86545,--27256,--15778,90527,68695,--21832,--12497,KRX
20260520,-1249000,5,-37000,-2.88,220620,165983,154505,--11478,--36422,133841,124506,--9335,--28214,KRX
20260519,+1286000,2,+59000,+4.81,358529,218283,243227,+24944,+26308,168404,187283,+18879,+19944,KRX
20260518,+1227000,2,+11000,+0.90,174679,105360,103996,--1364,+36124,85740,84675,--1065,+28940,KRX
20260515,-1216000,5,-90000,-6.89,208586,104060,66572,--37488,--64298,83803,53798,--30005,--50690,KRX
20260514,+1306000,2,+20000,+1.56,183172,128154,154964,+26810,+51853,99198,119883,+20685,+40478,KRX
20260513,+1286000,2,+2000,+0.16,149714,108259,83216,--25043,+15127,84959,65166,--19793,+11157,KRX
20260512,-1284000,5,-31000,-2.36,234338,162810,122640,--40170,--17602,126145,95195,--30950,--13666,KRX
20260511,+1315000,2,+8000,+0.61,251134,159805,137237,--22568,--11738,120279,102995,--17284,--8960,KRX
20260508,-1307000,5,-10000,-0.76,249051,137944,127114,--10830,+107822,106371,98047,--8324,+79470,KRX
20260507,-1317000,5,-116000,-8.09,314456,237562,118910,--118652,--149131,176109,88315,--87794,--108792,KRX
20260506,-1433000,5,-32000,-2.18,171436,113727,144206,+30479,--85565,79157,100155,+20998,--58144,KRX
20260504,+1465000,2,+48000,+3.39,450389,93035,209079,+116044,+68863,63636,142778,+79142,+46367,KRX
20260430,-1417000,5,-3000,-0.21,236243,133741,180922,+47181,+21357,94345,127120,+32775,+14670,KRX
20260429,+1420000,2,+25000,+1.79,110434,62606,88430,+25824,+115766,44123,62228,+18105,+81661,KRX
