일자,현재가,대비부호,전일대비,등락율,체결수량,프로그램매도금액,프로그램매수금액,프로그램순매수금액,프로그램순매수금액증감,프로그램매도수량,프로그램매수수량,프로그램순매수수량,프로그램순매수수량증감,거래소구분
20260720,86700,0,0,0.00,0,0,0,0,+46901,0,0,0,+557461,KRX
20260716,+86700,2,+4700,+5.73,2769110,100864,53963,--46901,--61984,1192235,634774,--557461,--739996,KRX
20260715,+82000,2,+5200,+6.77,1710848,45454,60537,+15083,+8093,561847,744382,+182535,+92081,KRX
20260714,-76800,5,-2000,-2.54,1732146,46023,53013,+6990,+26171,600556,691010,+90454,+326824,KRX
20260713,-78800,5,-2500,-3.08,1940961,57695,38514,--19181,--30917,713414,477044,--236370,--380169,KRX
20260710,+81300,2,+2700,+3.44,1861096,42869,54605,+11736,--17220,520979,664778,+143799,--226829,KRX
20260709,-78600,5,-3400,-4.15,4572496,97323,126279,+28956,+51394,1205676,1576304,+370628,+632768,KRX
20260708,-82000,5,-7800,-8.69,3270283,84373,61935,--22438,+32113,999480,737340,--262140,+342818,KRX
20260707,-89800,5,-26300,-22.65,5505662,155635,101084,--54551,--37985,1727960,1123002,--604958,--450425,KRX
20260706,+116100,2,+9200,+8.61,5006929,137646,121080,--16566,--16048,1190243,1035710,--154533,--152039,KRX
20260703,+106900,2,+2400,+2.30,1667061,42747,42229,--518,+61338,417031,414537,--2494,+565770,KRX
20260702,+104500,2,+1200,+1.16,3173366,120617,58761,--61856,--64363,1113141,544877,--568264,--593082,KRX
20260701,+103300,2,+3000,+2.99,1049667,27442,29949,+2507,+22174,268112,292930,+24818,+219512,KRX
20260630,-100300,5,-5200,-4.93,1259330,41114,21447,--19667,--4905,407054,212360,--194694,--50436,KRX
20260629,+105500,2,+7500,+7.65,1043494,47049,32287,--14762,--4612,463779,319521,--144258,--46854,KRX
20260626,-98000,5,-7600,-7.20,1638269,52077,41927,--10150,--15392,520466,423062,--97404,--144957,KRX
20260625,-105600,5,-400,-0.38,1480002,41990,47232,+5242,+17611,384897,432450,+47553,+164485,KRX
20260624,+106000,2,+1500,+1.44,1315530,54444,42075,--12369,--7421,511940,395008,--116932,--73302,KRX
20260623,-104500,5,-12000,-10.30,2015373,58919,53971,--4948,+81812,529910,486280,--43630,+690587,KRX
20260622,-116500,5,-11900,-9.27,2060359,115279,28519,--86760,--87937,975667,241450,--734217,--744251,KRX
20260619,+128400,2,+3300,+2.64,3363271,198659,199836,+1177,+21583,1573563,1583597,+10034,+171217,KRX
20260618,-125100,5,-8000,-6.01,2116886,86768,66362,--20406,--202440,683020,521837,--161183,--1484715,KRX
20260617,+133100,2,+3900,+3.02,5967526,119592,301626,+182034,+140444,878297,2201829,+1323532,+1000853,KRX
20260616,+129200,2,+5800,+4.70,2044579,48677,90267,+41590,+21493,380308,702987,+322679,+157223,KRX
20260615,+123400,2,+10700,+9.49,1642714,49869,69966,+20097,+31004,415378,580834,+165456,+264431,KRX
20260612,+112700,2,+8200,+7.85,2647406,140378,129471,--10907,+21664,1235031,1136056,--98975,+216827,KRX
20260611,-104500,5,-5700,-5.17,1514159,89949,57378,--32571,--29270,865774,549972,--315802,--283660,KRX
20260610,+110200,2,+8000,+7.83,1652201,58668,55367,--3301,+29740,547107,514965,--32142,+291218,KRX
20260609,-102200,5,-900,-0.87,1351983,65895,32854,--33041,--24288,643662,320302,--323360,--238892,KRX
20260608,-103100,5,-9100,-8.11,1260480,52089,43336,--8753,+5751,497722,413254,--84468,+46137,KRX
20260605,-112200,5,-2900,-2.52,998501,41904,27400,--14504,+36845,374733,244128,--130605,+312391,KRX
20260604,-115100,5,-900,-0.78,1284204,86663,35314,--51349,+25552,747127,304131,--442996,+215311,KRX
20260602,-116000,5,-8900,-7.13,1919672,118652,41751,--76901,--73122,1012738,354431,--658307,--624641,KRX
20260601,+124900,2,+1600,+1.30,1902393,69634,65855,--3779,+3674,552482,518816,--33666,+27467,KRX
20260529,-123300,5,-900,-0.72,1816929,101618,94165,--7453,+44716,826956,765823,--61133,+357874,KRX
20260528,-124200,5,-10700,-7.93,2595272,132467,80298,--52169,--82280,1061132,642125,--419007,--640831,KRX
20260527,+134900,2,+200,+0.15,2924745,88811,118922,+30111,--104891,660731,882555,+221824,--790807,KRX
20260526,+134700,2,+12500,+10.23,4650970,98447,233449,+135002,+121240,741226,1753857,+1012631,+899868,KRX
20260522,+122200,2,+8600,+7.57,1469928,45055,58817,+13762,+37571,371478,484241,+112763,+324749,KRX
20260521,+113600,2,+3100,+2.81,1114617,61461,37652,--23809,--40665,544841,332855,--211986,--365229,KRX
20260520,-110500,5,-1400,-1.25,1146955,28860,45716,+16856,+31403,262066,415309,+153243,+283008,KRX
20260519,-111900,5,-3900,-3.37,1035014,40379,25832,--14547,--7561,356599,226834,--129765,--69690,KRX
20260518,-115800,5,-2300,-1.95,1193666,49411,42425,--6986,+57377,426675,366600,--60075,+476795,KRX
20260515,-118100,5,-2300,-1.91,2595567,100619,36256,--64363,--48651,836344,299474,--536870,--405646,KRX
20260514,-120400,5,-1000,-0.82,1251981,47737,32025,--15712,+10697,397924,266700,--131224,+87923,KRX
20260513,-121400,5,-600,-0.49,1318787,60731,34322,--26409,+82638,497555,278408,--219147,+662798,KRX
20260512,-122000,5,-8500,-6.51,2716797,148205,39158,--109047,--184709,1201280,319335,--881945,--1445255,KRX
20260511,+130500,2,+4400,+3.49,3244572,83278,158940,+75662,+111490,633815,1197125,+563310,+846404,KRX
20260508,-126100,5,-3800,-2.93,1278409,63309,27481,--35828,--44135,499939,216845,--283094,--345699,KRX
20260507,-129900,5,-300,-0.23,1465815,42668,50975,+8307,+40087,330689,393294,+62605,+306057,KRX
20260506,-130200,5,-2800,-2.11,1853477,87067,55287,--31780,--55652,666541,423089,--243452,--421680,KRX
20260504,+133000,2,+1200,+0.91,1518622,44678,68550,+23872,+1075,337981,516209,+178228,+4987,KRX
20260430,-131800,5,-500,-0.38,1169530,36165,58962,+22797,+18234,275069,448310,+173241,+140084,KRX
20260429,-132300,5,-1600,-1.19,1487810,52161,56724,+4563,--22823,396373,429530,+33157,--171795,KRX
20260428,+133900,2,+400,+0.30,1494935,43113,70499,+27386,+104835,324315,529267,+204952,+786443,KRX
20260427,-133500,5,-1400,-1.04,2554842,113548,36099,--77449,--78175,851034,269543,--581491,--586754,KRX
20260424,+134900,2,+500,+0.37,1520273,49852,50578,+726,+31021,371602,376865,+5263,+231010,KRX
20260423,-134400,5,-600,-0.44,2523968,94139,63844,--30295,--47100,701786,476039,--225747,--350317,KRX
20260422,+135000,2,+3800,+2.90,2872125,77173,93978,+16805,+14659,578246,702816,+124570,+108753,KRX
