일자,현재가,대비부호,전일대비,등락율,체결수량,프로그램매도금액,프로그램매수금액,프로그램순매수금액,프로그램순매수금액증감,프로그램매도수량,프로그램매수수량,프로그램순매수수량,프로그램순매수수량증감,거래소구분
20260720,69700,0,0,0.00,0,0,0,0,--15275,0,0,0,--216823,KRX
20260716,-69700,5,-3300,-4.52,2541779,71950,87225,+15275,--11164,1032558,1249381,+216823,--144224,KRX
20260715,+73000,2,+2100,+2.96,2540969,57964,84403,+26439,+11369,792729,1153776,+361047,+145392,KRX
20260714,-70900,5,-2300,-3.14,4079032,97937,113007,+15070,+12927,1380869,1596524,+215655,+179251,KRX
20260713,-73200,5,-4900,-6.27,2881964,62763,64906,+2143,--47116,833332,869736,+36404,--592327,KRX
20260710,+78100,2,+4900,+6.69,3005529,39571,88830,+49259,+1317,505598,1134329,+628731,--26455,KRX
20260709,-73200,5,-800,-1.08,3641029,83240,131182,+47942,--3672,1121921,1777107,+655186,--42843,KRX
20260708,-74000,5,-7600,-9.31,3895625,71323,122937,+51614,+74910,940935,1638964,+698029,+988702,KRX
20260707,-81600,5,-3900,-4.56,2596943,84803,61507,--23296,+1225,1052066,761393,--290673,--8263,KRX
20260706,-85500,5,-700,-0.81,2210209,65116,40595,--24521,--37932,754867,472457,--282410,--440738,KRX
20260703,+86200,2,+200,+0.23,2936728,73271,86682,+13411,+27562,878195,1036523,+158328,+322849,KRX
20260702,-86000,5,-2500,-2.82,2538076,75835,61684,--14151,--5655,876987,712466,--164521,--68330,KRX
20260701,+88500,2,+1700,+1.96,2186748,62969,54473,--8496,+15676,711145,614954,--96191,+182541,KRX
20260630,-86800,5,-1200,-1.36,2498630,99806,75634,--24172,--34888,1149994,871262,--278732,--409140,KRX
20260629,+88000,2,+6900,+8.51,4231835,145571,156287,+10716,--8368,1700465,1830873,+130408,--101188,KRX
20260626,-81100,5,-6700,-7.63,4769262,118393,137477,+19084,+41555,1444490,1676086,+231596,+484323,KRX
20260625,-87800,5,-2800,-3.09,2738234,95758,73287,--22471,--37155,1074872,822145,--252727,--412076,KRX
20260624,+90600,2,+1400,+1.57,3053656,72373,87057,+14684,--43084,803834,963183,+159349,--450227,KRX
20260623,-89200,5,-5000,-5.31,4439638,110266,168034,+57768,+53028,1187912,1797488,+609576,+560236,KRX
20260622,-94200,5,-3700,-3.78,2146567,59627,64367,+4740,+10901,627950,677290,+49340,+106526,KRX
20260619,-97900,5,-1700,-1.71,4391283,166931,160770,--6161,+133304,1708604,1651418,--57186,+1296383,KRX
20260618,-99600,5,-3600,-3.49,4268637,198018,58553,--139465,--128619,1924902,571333,--1353569,--1249098,KRX
20260617,-103200,5,-100,-0.10,2408504,80864,70018,--10846,+781,778042,673571,--104471,+10925,KRX
20260616,+103300,2,+3500,+3.51,3301721,118891,107264,--11627,--23727,1147371,1031975,--115396,--234391,KRX
20260615,+99800,2,+6700,+7.20,2520626,83713,95813,+12100,--14806,839980,958975,+118995,--165889,KRX
20260612,+93100,2,+4500,+5.08,2998526,89191,116097,+26906,+51319,956646,1241530,+284884,+569078,KRX
20260611,-88600,5,-2500,-2.74,3002950,113382,88969,--24413,+1915,1298870,1014676,--284194,+9152,KRX
